Question,answer,A,B,C,D,E
疣目相当于西医的,A,寻常疣,扁平疣,传染性软疣,掌跖疣,丝状疣
扁疾相当于西医的,B,寻常疣,扁平疣,传染性软疣,掌跖疣,丝状疣
皮损表现为米粒到黄豆大小的半球形丘疹，中央有脐凹，表面有蜡样光泽，破后可挤出白色乳酪样物质者，可诊断为,A,鼠乳,疣目,扁疾,跖疣,丝状疣
皮损多发于足底和趾间，损害为圆锥形的角质增生，表面为褐黄色鸡眼样的硬结嵌入皮肉，压痛明显，步履疼痛，诊为,B,跖疣,鸡眼,胼胝,扁平苔藓,扁疾
患者男性，21岁，双手背起结节1年，如豆般大，坚硬粗糙，表面蓬松枯槁，色黄，皮损范围有扩大趋势；无任何不适，舌红，苔薄，脉弦数。诊断为,D,扁疾,跖疣,鼠乳,疣目,丝状疣
上一题所述患者可选用何法治疗,C,清热利湿，活血化瘀,清化湿热，活血化瘀,养血活血，清热解毒,清热利湿，软坚散结,清热解毒，软坚散结
下列哪项是鼠乳的皮损特点,B,针头或芝麻大扁平丘疹,半球形的丘疹，中有脐窝，蜡样光泽,米粒到豌豆大的角质增生性突起,细软的丝状突起,以上均不是
下列各项中除哪项外均与疣无关,D,西医学称为带状疱疹，其病原体为病毒,西医学称为单纯疱疹，其病原体为病毒,多发于口角、唇缘、眼睑、鼻孔等处,又名鼠乳、枯筋箭,以上均不是
面部疣目，头大蒂小，治法选用,A,推疣法,挑破皮损，挤出内容物,内服祛疣方,用线扎疣根部,外敷鸡眼膏
鼠乳的治法选用,B,推疣法,挑破皮损，挤出内容物,内服祛疣方,用线扎疣根部,外敷鸡眼膏
患者王某，23岁，手指、手背有污黄结节，如黄豆大，表面粗糙，结节疏松，无自觉不适，舌暗红，苔薄白，脉细，诊断为疣目，辨为何证,B,风热血燥,湿热血瘀,热毒蕴结,热瘀互结,暑湿热蕴
患者刘某，25岁，颜面、手背出现褐色的扁平丘疹5年，其皮损大小不等，其色黄褐，舌红，苔薄白，脉沉弦。诊断为扁猴，辨为何证,D,风热血燥,湿热血瘀,热毒蕴结,热瘀互结,暑湿热蕴
疣是发生于皮肤浅表的良性赘生物， 其治法应以什么为主,C,清热解毒,清化湿热软结,清热解毒散结,清热散结,以上均不是
扁平疣、疣目宜采用,C,内治,外治,内外合治,不作治疗,以上均不是
扁平疣、疣目以外的其他疣临床上多采用,B,内治,外治,内外合治,不作治疗,以上均不是
皮损为半球形丘疹，中央有脐凹，表面有蜡样的光泽，可挤出白色乳酪样物质，应诊断为,C,扁疾,跖疣,鼠乳,疣目,以上均不是
皮损为角化性丘疹，中央稍凹，外周可有角质环，除去表皮角质后或可见疏松的白色乳头状角质物质，挑破后易出血，应诊断为,B,扁疾,跖疣,鼠乳,疣目,以上均不是
风热疮是 一种急性自限性皮肤病， 在《医宗金鉴》中称为,D,风癣,风热疮,风痒,血疳,白屑风
以下哪项属于风热疮的皮损特点,C,皮损呈多形性，对称分布，伴有瘙痒，易形成慢性,皮损为大小不等的红色斑片，上覆银白色的鳞屑,斑疹色如玫瑰，脱屑如糠秕,皮损为簇集性呈带状分布的水疱,中央有自愈倾向，四周有红晕、丘疹、小水疱等
风热疮好发于青年和中年人，多发于,D,冬季,冬、春季,春、夏季,春、秋季,夏、秋季
以下除哪项外，均是风热疮的皮损特点,C,皮损的长轴与皮纹一致,皮损呈淡红色或黄红色圆形或椭圆形的鳞屑斑,搔抓后可见露水珠样点状出血,先出现母斑，后出现子斑,斑疹颜色不一，自鲜红至褐色不等
以下哪项属于风热疮的临床特点,E,好发于儿童,多见于夏秋季节,皮损呈多形性，对称分布,搔抓后可见露水珠样点状出血,以上均不是
患者王某，女，23岁，以躯干黄红色鳞屑斑1周、加重3天到门诊医治，皮损呈圆形及椭圆形淡红色斑片，中心有细微皱纹，表面有少量糠秕状鳞屑，伴有心烦口渴，大便干，尿微黄，舌红，苔白，脉浮数。诊断为,D,白疟,圆癣,风瘙痒,风热疮,以上均不是
上一题所述患者辨为何证，以何法治疗,A,风热蕴肤证，治宜疏风清热止痒,风热血燥证，治宜清热凉血、养血润燥,风热蕴肤证，治宜清热凉血、养血润燥,风热血热证，治宜疏风清热止痒,以上均不是
皮损数目不多，中心有自愈倾向，四周有红晕、丘疹、小水疱，诊为,A,圆癣,白疟,风热疮,猫眼疮,白驳风
大小不等的红色斑片，上堆银白色鳞屑，诊为,B,圆癣,白疟,风热疮,猫眼疮,白驳风
斑疹色红如玫瑰、脱屑如糠秕，诊为,C,圆癣,白疟,风热疮,猫眼疮,白驳风
将风热疮称为“风癣”的是,A,《外科正宗},《疡科心得集},《医宗金鉴},《外科秘录},以上均不是
将风热疮称为“血疳”的是,C,《外科正宗},《疡科心得集},《医宗金鉴},《外科秘录},以上均不是
黄水疮相当于西医学的,D,带状疱疹,湿疹,水痘,脓疱疮,接触性皮炎
黄水疮的皮损特点是,C,瘙痒性风团，发无定处，骤起骤退,皮肤粘膜交界处成群的水疱,皮肤上浅在性脓疱和脓痂，有传染性和自体接种的特性,带状分布的红斑上成簇的水疱,对称分布，多形性损害，剧烈瘙痒
黄水疮多发于,B,冬季,夏、秋季,冬、春季,夏季,春、秋季
黄水疮反复发作，邪毒久羁，可导致,C,脾肾阳虚,肝肾阴虚,脾气虚弱,气血不足,瘀血阻滞
患儿5岁，平素纳差，时腹胀便溏，3天前头面、四肢暴露部位起脓疱，脓疱稀疏，色淡白，糜烂面淡红，纳食少，大便溏薄。舌淡，苔薄微腻，脉濡细，宜选用,E,龙胆泻肝汤,除湿胃苓汤加减,黄连解毒汤,清暑汤,参苓白术散加减
患儿7岁，四肢暴露部位出现密集的脓疱，色黄，周围有红晕，糜烂面鲜红，口干，便干，小便黄。舌红，苔黄腻，脉濡滑数。治宜选用,A,清暑汤,补中益气汤,清瘟败毒饮,除湿胃苓汤加减,参苓白术散加减
下列中西医名称对应关系哪项正确,B,血风疮相当于玫瑰糠疹,热疮相当于单纯疱疹,黄水疮相当于天疱疮,牛皮癣相当于银屑病,以上均不正确
下列除哪项外均属于黄水疮的皮损特点,A,皮损为有脐窝的水疱,皮损初为水疱，后转为脓疱,脓疱壁极薄，可形成半月状坠积性脓疱,疱破流出黄水，可结成脓痂,以上均不正确
黄水疮的皮损特点为,A,皮肤上浅在性脓疱和脓痂，脓疱可形成半月形坠积性脓疱，有传染性和自体接种的特性,皮损以大小不等发亮的水疱为主，疱大者可见脐窝,脓疱壁厚，破后疱陷成窝，易结成厚痂,薄壁、松弛的大疱，尼氏征阳性,壁厚张力性大疱，尼氏征阴性
水痘的皮损特点为,B,皮肤上浅在性脓疱和脓痂，脓疱可形成半月形坠积性脓疱，有传染性和自体接种的特性,皮损以大小不等发亮的水疱为主，疱大者可见脐窝,脓疱壁厚，破后疱陷成窝，易结成厚痂,薄壁、松弛的大疱，尼氏征阳性,壁厚张力性大疱，尼氏征阴性
脓窝疮的皮损特点为,C,皮肤上浅在性脓疱和脓痂，脓疱可形成半月形坠积性脓疱，有传染性和自体接种的特性,皮损以大小不等发亮的水疱为主，疱大者可见脐窝,脓疱壁厚，破后疱陷成窝，易结成厚痂,薄壁、松弛的大疱，尼氏征阳性,壁厚张力性大疱，尼氏征阴性
患者苏某，女，5岁，昨日从托儿所归来后，四肢暴露部位出现脓疱，且伴有发热、口渴等症状，今日来诊时见脓疱密集分布，色黄，可见周围有红晕，部分脓疱已糜烂，糜烂面呈鲜红色，患儿伴有口干欲饮，小便黄，大便略干，舌红，苔黄腻，脉滑数。宜选用,C,除湿胃苓汤加减,清瘟败毒饮,清暑汤,参苓白术散加减,以上都不是
患儿6岁，平素纳差，时腹胀便溏，3天前，头面、四肢暴露部位起脓疱，脓疱稀疏，色淡白，糜烂面淡红，食少，面白无华，大便溏薄。舌淡，苔薄微腻，脉濡细，宜选用,D,除湿胃苓汤加减,清瘟败毒饮,清暑汤,参苓白术散加减,以上都不是
白秃疮相当于西医的,B,黄癣,白癣,手癣,脚癣,股癣
圆癣相当于西医的,A,体癣,黄癣,白癣,手癣,脚癣
紫白癜风相当于西医的,D,体癣,手癣,足癣,花斑癣,白癣
头癣好发于儿童，常见的有,B,秃疮、肥疮、癞头疮,黄癣、白癣、黑点癣,水疱型、糜烂型、脱屑型,圆癣、紫白癜风,黄癣、黑点癣、花斑癣
以下哪项不是白癣的特点,C,头皮有圆形或不规则形的覆盖灰白色鳞屑的斑片,毛发干枯无光泽,可形成永久性脱发,易在距头皮0.2～0.8cm处折断,病发根部有白色菌鞘包绕
以下哪项不是肥疮的特点,E,皮损多从头顶部开始，可累及全头部,皮损处有黄癣痂堆积,头发干燥，穿过皮损，易折断,皮损处可闻及鼠尿臭,皮损处不会形成永久性脱发
关于癣的治疗哪项不用,C,灰黄霉素,剪发、拔甲、拔发、洗头,肌肉注射抗生素,10%水杨酸软膏,5%硫黄软膏
对于紫白癜风，以下哪项说法不正确,C,相当于西医的花斑癣,俗称为汗斑,俗称为田螺疮,好发于多汗部位,皮损为境界清楚的圆形或不规则形无炎症性斑片
关于股癣的主要临床表现特点哪项不正确,D,钱币状红斑,丘疹、水疱,鳞屑、瘙痒,溃疡、瘢痕,夏重冬轻
下列哪一项是预防头癣的最佳措施,D,流行期间可服清凉饮料,加强对产房、小学校的卫生管理,隔离患者，防止接触传染,对病人用过的理发工具及梳、帽、枕巾等要消毒,病人家属及密切接触者要进行检查
关于紫白癜风的描述下列哪项不正确,C,西医称为花斑癣，俗称汗斑,皮损好发于颈项、躯干多汗部位,皮损为纯白的色素脱失斑,有轻微痒感，常夏发冬愈,以上均不是
脚湿气若伴发感染，足丫糜烂、起疱、破流臭水者称为,B,黄癞,臭田螺,阴癣,钱癣,以上均不是
下列哪一项与脚湿气关系最密切,C,南方发病率高,多发于成年人，儿童少见,一般临床分水疱型、糜烂型、脱屑型,治疗以杀虫止痒为主,以上均不是
以下哪一项属于肥疮脱发的特点,C,常在距头皮0.3～0.8cm处折断,脱发呈上粗下细的感叹号状,脱发后由于毛囊破坏，成为永久性脱发,脱发处油脂较多,以上均不是
头皮上出现圆形或不规则形大片的灰白色鳞屑斑片，病发失去光泽，头发因折断而参差不齐，病发根部包绕有白色鳞屑形成的菌鞘，应诊为,B,紫白癜风,白秃疮,肥疮,黑点癣,圆癣
头部散在的蜡黄色痂皮，中心微凹，边缘翘起，有鼠尿臭味。头发干燥，失去光泽，逐渐脱发，呈永久性脱发，应诊为,C,紫白癜风,白秃疮,肥疮,黑点癣,圆癣
好发于多汗部位，为大小不一、境界清楚的圆形或不规则形无炎症性斑，呈淡褐、灰褐至深褐色，一般无自觉症状，应诊为,A,紫白癜风,白秃疮,肥疮,黑点癣,圆癣
圆癣的临床表现与上述哪项有关,D,痂皮中心微凹，边缘翘起，后期形成萎缩性瘢痕，永久性脱发,灰白色鳞屑斑，斑内头发稀疏折断，发根包有菌鞘,鳞屑性小斑片，数目较多，病发出头皮后折断，呈黑点状,钱币形红斑，边缘清楚，中心有自愈倾向，四周有丘疹、水疱、鳞屑，有剧痒,以上均不是
黄癣的临床表现与上述哪项有关,A,痂皮中心微凹，边缘翘起，后期形成萎缩性瘢痕，永久性脱发,灰白色鳞屑斑，斑内头发稀疏折断，发根包有菌鞘,鳞屑性小斑片，数目较多，病发出头皮后折断，呈黑点状,钱币形红斑，边缘清楚，中心有自愈倾向，四周有丘疹、水疱、鳞屑，有剧痒,以上均不是
虫咬皮炎的皮损特点是,A,皮损呈丘疹样风团，上有针头大小的瘀点、丘疹或水疱,多见于皮肤薄嫩和皱褶处，夜间剧痒，在皮损处有灰白色或普通皮色的隧道,皮肤上浅在性脓疱和脓痂，有传染性和自体接种的特性,躯干部位皮肤瘙痒及血痂,对称分布，多形性损害，剧烈瘙痒
以下除哪项外均是虫咬皮炎的临床特点,A,多见于春、夏季节,好发于暴露部位,多见于儿童及青少年,有些皮损由于搔抓后可继发感染,皮损以丘疹、风团或瘀点为多见
患儿9岁，因蚊虫叮咬后，右手出现成片的红肿，且有较大的水疱，伴瘙痒，患儿出现发热，口干，头痛，苔黄，舌红，脉数。宜选用,E,除湿胃苓汤加减,清瘟败毒饮,清暑汤,化斑解毒汤加减,黄连解毒汤合五味消毒饮加减
虫咬皮炎好发于暴露部位，多见于,B,冬季,夏、秋季,夏季,冬、春季,以上均不是
针对虫咬皮炎的治则，下面哪项不正确,B,本病以预防为主,发病后以内治为主,本病治疗外治为关键,治法主要为清热解毒止痒,以上均不是
伤处有烧灼感或显著的痛痒感，应诊为,E,隐翅虫线状皮炎,桑毛虫皮炎,松毛虫皮炎,螨虫皮炎,蜂螫皮炎
皮损多呈线状或条索状红肿，上有密集的丘疹、水疱或脓疱。自觉灼热、疼痛，应诊为,A,隐翅虫线状皮炎,桑毛虫皮炎,松毛虫皮炎,螨虫皮炎,蜂螫皮炎
皮损为绿豆大小的红色斑丘疹、丘疱疹或风团，剧痒，应诊为,B,隐翅虫线状皮炎,桑毛虫皮炎,松毛虫皮炎,螨虫皮炎,蜂螫皮炎
生于毛发处的虫咬皮炎治疗应,E,1%薄荷三黄洗剂,马齿苋煎汤湿敷,先拔去毒刺，火罐吸出毒汁，消毒后外用紫金锭磨水涂,用橡皮膏粘去毛刺，外涂5%碘酒,以上均不是
虫咬皮炎感染邪毒后，水疱破后糜烂红肿者治疗应,B,1%薄荷三黄洗剂,马齿苋煎汤湿敷,先拔去毒刺，火罐吸出毒汁，消毒后外用紫金锭磨水涂,用橡皮膏粘去毛刺，外涂5%碘酒,以上均不是
虫咬皮炎初起皮损以红斑、丘疹、风团等为主，治疗应,A,1%薄荷三黄洗剂,马齿苋煎汤湿敷,先拔去毒刺，火罐吸出毒汁，消毒后外用紫金锭磨水涂,用橡皮膏粘去毛刺，外涂5%碘酒,以上均不是
疥疮是由以下哪种节肢动物引起,D,桑毛虫,松毛虫,蠑虫,疥螨,蚤
疥疮的皮损特点是,B,皮肤呈丘疹样风团，上有针头大小的瘀点、丘疹或水疱,多见于皮肤薄嫩和皱褶处，夜间剧痒，在皮损处有灰白色或普通皮色的隧道,皮肤上有浅表性脓疱和脓痂，有传染性和自体接种的特性,躯干部位皮肤瘙痒及血痂,对称分布，多形性损害，剧烈瘙痒
疥疮具有传染性，多见于,D,冬季,夏、秋季,夏季,冬、春季,春、秋季
疥疮的形成除与接触疥虫有关外，还与什么有关,D,肠胃湿热郁于肌肤,毒邪侵人皮肤，蕴郁化热,脾气虚弱,湿热之邪郁于肌肤,瘀血阻滞
下列哪一项与疥疮关系最密切,B,由于体虚感受风、湿、虫、毒而成,临床常用硫黄软膏治疗,内治以清热利湿杀虫为主,好发于暴露部位,被虫叮咬，邪毒侵入，阻于肌肤而发
下列哪一项是预防疥疮的最佳措施,,病人衣服、被褥均需煮沸消毒，或在阳光下充分曝晒,加强对产房、婴室、小学校的卫生管理,流行期间可服清凉饮料,对患者要注意隔离，防止接触传染,对病人使用的梳子、帽子要煮沸消毒
患儿8岁，指缝、少腹部皮肤可见红色小丘疹、丘疱疹。夜间剧痒。皮肤水疱多，丘疱疹泛发，壁薄液多，破流脂水，浸淫湿烂。阴囊处可见暗红色的结节。舌红，苔黄腻，脉滑数。宜选用,,除湿胃苓汤加减,清瘟败毒饮,清暑汤,化斑解毒汤加减,黄连解毒汤合三妙丸加减
下列疥疮外治法中哪一项正确,D,小儿可选用15%～20%的硫黄软膏,搽药时一般先搽无皮损处,停药后要观察2周，因疥虫卵产生后2周左右才能发育为成虫,搽药前先洗涤全身，连续搽硫黄软膏3天，第4天洗澡,以上均不正确
下列哪项不属于疥疮的临床特点,B,皮损好发于皮肤薄嫩和皱褶处,本病传染性极强，秋、冬季多见,皮疹主要为红色小丘疹、丘疱疹、小水疱、隧道、结节和结痂,夜间瘙痒剧烈,以上均不正确
一侧腰部皮肤有成簇状丘疱疹，呈带状排列，痛如火燎，应诊为,B,风热疮,蛇串疮,黄水疮,疥疮,湿疮
夜间剧烈瘙痒，在皮损处有灰白色、浅黑色或普通皮色的隧道，应诊为,D,风热疮,蛇串疮,黄水疮,疥疮,湿疮
皮损对称分布，呈多形性，瘙痒，易转为慢性，应诊为,E,风热疮,蛇串疮,黄水疮,疥疮,湿疮
以上关于疥疮的治疗正确的是,C,本病以预防为主,本病不需要隔离,一般以外治为主，不需内服药,本病以清热解毒止痒为主,以上均不正确
以上关于黄水疮的治疗正确的是,E,本病以预防为主,本病不需要隔离,一般以外治为主，不需内服药,本病以清热解毒止痒为主,以上均不正确
湿疮相当于西医的,B,神经性皮炎,湿疹,接触性皮炎,自体敏感性皮炎,异位性皮炎
湿疮根据发病部位的不同，名称各异，发于阴囊部者，称为,C,旋耳疮,四弯风,肾囊风,脐疮,乳头风
下列哪项不是湿疮的发病特点,D,皮损对称分布,皮损呈多形性损害,病情反复发作,有明显的接触史,自觉瘙痒剧烈
根据皮损形态的不同，湿疮也有不同的名称，浸淫全身，滋水较多者，称为,A,浸淫疮,血风疮,粟疮,脐疮,乳头风
急性湿疮的病因病机一般以什么为主,A,湿热浸淫,脾虚湿恋,血虚风燥,气血阻滞,气血不足
下列哪项不属于亚急性湿疮的皮损,D,丘疹,结痂,鳞屑,苔癣样变,少量的水疱
急性湿疮主要有以下除哪项以外的临床表现,D,起病较快，常对称发生,多见于四肢、面部、外阴、肛门等处,皮疹多形性,皮疹广泛者，多伴有高热、头痛,瘙痒剧烈
湿疮辨证分型为,E,湿热蕴肤证、血虚风燥证,湿热蕴肤证、脾虚湿蕴证,湿热浸淫证、湿热蕴肤证,湿热蕴肤证、湿热浸淫证、血虚风燥证,湿热浸淫证、血虚风燥证、湿热蕴肤证、脾虚湿蕴证
湿疹的辨证分型哪项不正确,D,湿热蕴肤证,血虚风燥证,脾虚湿蕴证,冲任失调证,湿热浸淫证
王某，男，57岁，反复发作的丘疹、丘疱疹、红斑10年，10年前患者不明诱因双前臂出现红斑、丘疱疹，伴瘙痒，经医治后好转，后皮损反复发作，且累及面积在不断扩大，每年发作2～3次，今夏皮损再次发作，皮损主要为丘疹、丘疱疹，伴有抓痕，痒甚，抓破后有渗液，可见鳞屑，伴有纳少、腹胀，舌淡，苔白，脉弦缓。宜选用何方治疗,D,草薛渗湿汤加减,黄连解毒汤加减,龙胆泻肝汤加减,除湿胃苓汤加减,化斑解毒汤合龙胆泻肝汤加减
上一题所述患者诊断为,B,急性湿疮,亚急性湿疮,慢性湿疮,接触性皮炎,自体敏感性皮炎
婴儿湿疮相当于西医的,B,异位性皮炎,婴儿湿疹,自身敏感性皮炎,脓疱疮,接触性皮炎
婴儿湿疮是一种发生于婴儿的过敏性皮肤病，其特点不包括,E,好发于头面,重者可延及躯干和四肢,常有家族过敏史,多见于人工哺育的婴儿,有明显的接触物质史
下列哪项不是婴儿湿疮的皮损特点,D,皮损好发于颜面，重者可遍及全身,皮损形态多样，分布大多对称，时轻时重,在面部者，初为簇集的或散在的红斑或丘疹,皮损主要表现为红斑与风团，皮疹似梭形，顶部有小丘疹或小水疱,在头皮或眉部者，多有油腻性的鳞屑和黄色发亮的结痂
患儿6个月大，体形肥胖，颜面部皮肤潮红，有红斑水疱甚至黄水淋漓、糜烂，结黄色痂皮，大便干，小便黄赤。苔黄腻，脉滑数。治宜选用,A,消风导赤汤加减,小儿化湿汤加减,龙胆泻肝汤加减,参苓白术散加减,当归饮子或四物消风饮加减
湿疮的诊断依据哪项不正确,C,急性、亚急性损害为多形性，常以一形最显著;慢性期皮疹呈局限性，皮肤增厚,皮损初期局限一处，随后常发展成对称性,颈、肘、膝伸面和股内侧为好发部位,剧烈瘙痒,以上均不正确
慢性湿疮主要有以下除哪项以外的临床表现,B,常由急性、亚急性湿疮转变而来,常先有瘙痒感，随后再起皮疹,皮损增厚，有色素沉着或减退，或有苔藓样变,常有鳞屑，间有糜烂、渗液，阵发性瘙痒,以上均不是
下列哪一项与湿疮关系最密切,B,总由禀赋不耐，邪毒内侵,一般分急性、亚急性和慢性三类,治以清热利湿合散寒凉血,多见于夏、秋季节，暴露部位多发,以上均不是
以下关于特定部位的湿疮的说法哪项正确,B,小腿湿疮好发于小腿上1/3处，多由经脉弛缓、湿热蕴阻所致,钱币状湿疮因皮损似钱币而得名，皮损多呈“卫星状”分布,阴囊湿疮表现以潮红、糜烂、流滋、结痂为主,手、面部的湿疮因暴露易搽药物，易治愈,以上均不是
郭某，男，45岁，不明诱因双下肢及双前臂突现红斑，上有丘疹、水疱，搔抓后糜烂，流滋，边界弥漫，剧烈瘙痒，大便干结，小便黄赤，舌红，苔薄黄，脉滑。宜选用,D,黄连解毒汤加减,消风导赤汤,当归饮子加减,龙胆泻肝汤合草薛渗湿汤加减,参苓白术散加减
上一题所述患者经治疗后，皮损处肥厚粗糙，浸润，色素沉着，瘙痒剧烈，有抓痕，血痂。舌淡，苔白，脉沉细。现宜用何方治疗,C,黄连解毒汤加减,消风导赤汤,当归饮子加减,龙胆泻肝汤合草薛渗湿汤加减,参苓白术散加减
牛皮癣的皮损特点是,B,皮损对称分布，多形性损害，剧烈瘙痒，反复发作，易成慢性,好发于颈项、肘、尾骶部，皮损分布常不对称,发于接触部位，皮损表现单一，伴有痒或灼热感,皮损多局限于某一部位，皮损处肥厚粗糙，触之较硬，皮纹显著或呈苔藓样变,损害多为暗红、淡紫或皮肤色多角扁平丘疹，有蜡样光泽、网状纹
慢性湿疮的皮损特点是,D,皮损对称分布，多形性损害，剧烈瘙痒，反复发作，易成慢性,好发于颈项、肘、尾骶部，皮损分布常不对称,发于接触部位，皮损表现单一，伴有痒或灼热感,皮损多局限于某一部位，皮损处肥厚粗糙，触之较硬，皮纹显著或呈苔藓样变,损害多为暗红、淡紫或皮肤色多角扁平丘疹，有蜡样光泽、网状纹
湿疮的皮损特点是,A,皮损对称分布，多形性损害，剧烈瘙痒，反复发作，易成慢性,好发于颈项、肘、尾骶部，皮损分布常不对称,发于接触部位，皮损表现单一，伴有痒或灼热感,皮损多局限于某一部位，皮损处肥厚粗糙，触之较硬，皮纹显著或呈苔藓样变,损害多为暗红、淡紫或皮肤色多角扁平丘疹，有蜡样光泽、网状纹
患儿2个月大，颜面部迅速出现潮红、水疱、糜烂，边界弥漫，抓痒流滋，结黄色痂皮且剧烈瘙痒，大便秘结，小便黄赤。苔黄腻，脉滑数，四诊合参辨为,B,风热证,胎火湿热证,脾虚湿蕴证,血虚风燥证,气阴两虚证
患儿6个月大，主因面部、腋下潮红、水疱、糜烂2个月来诊，现皮损暗淡不红，渗液少而清稀，或以结痂及轻度浸润增厚的斑片为主，面色无华，纳差，大便溏薄，小便不黄。舌淡，苔薄白或白腻，脉缓。四诊合参辨为,C,风热证,胎火湿热证,脾虚湿蕴证,血虚风燥证,气阴两虚证
接触性皮炎发病过程中主要的特点是,B,皮损呈多样性,有明显的接触某物的病史,有一定的潜伏期,常见于暴露部位,自觉瘙痒剧烈
接触性皮炎第一次接触后出现皮损，潜伏期一般为,A,4～5天以上,4～5天以下,6～7天以上,6～7天以下,5～8天以上
引起接触性皮炎的病因病机中，什么是发病的主要原因,C,接触物的性质,接触的时间,患者的体质因素,接触的部位,接触的面积
以下哪个不是接触性皮炎的皮损特点,D,皮损一般为红斑、肿胀、丘疹、水疱等,皮损多局限于接触部位，边界清楚，形状与接触物大抵一致,发生于组织疏松部位，表现为皮肤局限性水肿,对称分布，皮损以丘疹、结痂、鳞屑为主,皮疹不仅局限于接触部位，还可泛发全身
陈某，女，27岁，食芒果7小时后，口周皮肤鲜红肿胀，其上有水疱及大疱，大疱破裂后则有糜烂渗液，灼热，瘙痒，伴发热，口渴，大便干结，小便黄，舌红，苔黄，脉弦数。宜选用何方治疗,E,凉膈散加减,黄连解毒汤加减,龙胆泻肝汤加减,化斑汤,化斑解毒汤合龙胆泻肝汤加减
接触性皮炎合理地处理后可在多长时间内痊愈,B,3周,1～2周,4周,5周,6周内
接触性皮炎最主要的诊断依据是,C,皮疹多形性,常突然急性发作,有明显的接触异物史,皮疹边缘不清楚,以上均不正确
下列哪一项是预防接触性皮炎的最佳措施,C,不时注意清洁卫生，勤洗澡，勤换衣物,接触病人后用肥皂洗手,首先明确病因，并除去残留的刺激物，向患者说明下次不能再接触该物质,对患者注意隔离，防止接触传染,以上均不正确
由于禀赋不耐、腠理不密，接触某些物质而使邪毒侵人皮肤，与气血相搏而发病的是,A,接触性皮炎,湿疮,药毒,风瘙痒,瘾疹
由于禀赋不耐，邪毒侵犯所致的疾病是,C,接触性皮炎,湿疮,药毒,风瘙痒,瘾疹
由于禀赋不耐，内外合邪，风湿热邪浸淫肌肤所致的疾病是,B,接触性皮炎,湿疮,药毒,风瘙痒,瘾疹
郭某，男，24岁，5天前因外伤后左小腿外搽止痛药水，现左小腿处皮肤鲜红肿胀，其上有大疱，大疱破裂后则有糜烂渗液，灼热，瘙痒，伴发热，口渴，舌红，苔黄，脉弦数。宜选用,E,黄连解毒汤加减,凉膈散加减,消风散合当归饮子加减,龙胆泻肝汤加减,化斑解毒汤合龙胆泻肝汤加减
王某，54岁，5年前腰部因疼痛外贴膏药后皮肤出现局限性红肿，后起水疱，伴瘙痒，自行治疗后皮损结痂，有色素沉着。5年中病情反复发作，皮损肥厚干燥，有鳞屑，瘙痒剧烈，舌淡红，苔薄，脉弦细数，宜选用,C,黄连解毒汤加减,凉膈散加减,消风散合当归饮子加减,龙胆泻肝汤加减,化斑解毒汤合龙胆泻肝汤加减
接触性皮炎皮损以红斑、丘疹为主者，外治可选用,A,炉甘石洗剂,青黛膏,3% 硼酸溶液湿敷,3% 黑豆馏油膏,皮质类固醇激素类软膏
接触性皮炎若有大量渗出时，外治可选用,C,炉甘石洗剂,青黛膏,3% 硼酸溶液湿敷,3% 黑豆馏油膏,皮质类固醇激素类软膏
接触性皮炎皮损其色鲜红肿胀，上有水疱或大疱，水疱破后则糜烂渗液，自觉灼热瘙痒，伴大便干，小便短黄；舌红，苔黄，脉弦滑数，诊为,C,接触性皮炎风热蕴肤证,接触性皮炎血虚风燥证,接触性皮炎湿热毒蕴证,接触性皮炎脾虚湿蕴证,以上均不正确
接触性皮炎皮损色红，肿胀轻，其上有红斑或丘疹，自觉瘙痒，灼热，心烦，口干，小便微黄，舌红，苔薄黄，脉浮数，诊为,A,接触性皮炎风热蕴肤证,接触性皮炎血虚风燥证,接触性皮炎湿热毒蕴证,接触性皮炎脾虚湿蕴证,以上均不正确
皮损以水肿性红斑为主，形如云片，色如涂丹，自觉灼热、疼痛而无瘙痒，诊为,B,急性湿疮,颜面丹毒,接触性皮炎,风瘙痒,以上均不正确
皮损多局限于接触部位，边界清楚，形状与接触物大抵一致，皮损较单一，有水肿、水疱，境界清楚，有痒或灼热感，诊为,C,急性湿疮,颜面丹毒,接触性皮炎,风瘙痒,以上均不正确
药毒相当于西医的,B,神经性皮炎,药物性皮炎,接触性皮炎,自体敏感性皮炎,异位性皮炎
药毒是药物进入人体内所致的急性炎症反应，与其他疾病相比，其特点是,A,发病前有用药史，有一定的潜伏期，皮损多形性,发病前均有明显的接触某种物质病史,皮损呈丘疹样风团，上有针尖大小的瘀点、丘疹或水疱，呈散在性分布,皮损主要表现为浅表性脓疱和脓痂，有接触传染和自体接种的特性,对称分布，多形损害，剧烈瘙痒，倾向湿润，反复发作，易转为慢性
药毒症状多样，不具备下列哪项特点,B,发病前有用药史,病情反复，易转为慢性,皮损呈多形性，分布全身，对称分布，可泛发或仅限于局部,发病往往突然,有一定的潜伏期
药毒发病均有一定的潜伏期，第一次发病多在用药后,C,4～5天以上,4～5天以内,5～20天以内,10～15天左右,3～7天左右
药毒发病均有一定的潜伏期，第二次发病多在用药后,B,48小时内,24小时内,72小时内,12小时内,24小时以上
以下药毒类型中，哪项属于重型药毒,C,荨麻疹样型,麻疹样型,大疱性表皮松解型,湿疹皮炎样型,固定红斑型
