我国第一部脉学专著是,B,《脉望》,《脉经》,《文魁脉学》,《濒湖脉学》,《一指禅》
我国现存最早的针灸学专著是,A,《针灸甲乙经》,《针灸大成》,《针经》,《针道》,以上都不是
堪称我国第一部医学百科全书的是,A,《备急千金药方》和《千金翼方》,《本草纲目》,《景岳全书》,《黄帝内经》,以上都不是
我国现存的第一部儿科专著是,A,《小儿药证直诀》,《幼幼集成》,《儿科要旨》,《育儿心法》,以上都不是
提出“千般疢难，不越三条”的“三因学说”的是哪位医家,C,张仲景,张景岳,陈无择,孙思邈,王纶
被称为“攻邪派”的医家是,A,张子和,张景岳,刘完素,孙思邈,李东垣
被称为“补土派”的医家是,A,李东垣,张景岳,刘完素,孙思邈,张子和
提出了“阳非有余”、“真阴不足”的医家是,B,朱丹溪,张景岳,刘完素,孙思邈,张子和
中医学创新发展的鼎盛时期是,C,明清时期,汉代,宋金元时期,魏晋时期,以上都不是
《瘟疫论》的作者是,A,吴有性,吴鞠通,刘完素,孙思邈,张子和
创建了温热病的卫气营血辨证理论的是,C,吴有性,吴鞠通,叶桂,李时珍,张子和
创建了温热病的三焦辨证理论的是,B,吴有性,吴鞠通,叶桂,李时珍,张子和
“君主之官”是,A,心,心包,命门,肾,肝
中医学关于“证”的概念是,D,阴阳失调的表现,对疾病症状与体征的分析过程,对疾病所表现症状的综合认识,对疾病发展过程中某一阶段的病理概括,对疾病症状与体征的调查过程
“内景隧道，唯反观者能照查之”出自,A,《奇经八脉考》,《难经》,《黄帝内经》,《针灸大成》,《针灸问答》
提出“阴常不足，阳常有余”的医家是,A,朱丹溪,吴鞠通,张景岳,李时珍,张子和
“若疑其为虚，意欲用补而未决，则以轻浅消导之剂，纯用数味，先以探之”属于哪种思维方法,A,试探,揆度奇恒,援物比类,司外揣内,以上都不是
通过观察人体爪甲的荣枯，来推知肝血的盛衰属于哪一种思维方法,D,试探,揆度奇恒,援物比类,司外揣内,以上都不是
我国现存最早的古典医籍是,A,《黄帝内经》,《伤寒杂病论》,《神农本草经》,《脉经》,《难经》
中医第一部指导临床辨证论治的专书是,B,《黄帝内经》,《伤寒杂病论》,《神农本草经》,《脉经》,《难经》
奠定中药学理论基础的是,C,《黄帝内经》,《伤寒杂病论》,《神农本草经》,《脉经》,《难经》
创立卫气营血辨证方法的医家是,B,陈无择,叶天士,吴鞠通,赵献可,张景岳
创立三焦辨证方法的是,C,陈无择,叶天士,吴鞠通,赵献可,张景岳
阴损及阳，阳损及阴，是根据,A,阴阳互根,阴阳对立,阴阳消长,阴阳转化,阴阳制约
用阴阳学说来说明人体的组织结构，下列哪项说法是不准确的,B,五脏属阴，六腑属阳,背为阴，腹为阳,内为阴，外为阳,下部为阴，上部为阳,心肺属阳。肝、脾、肾属阴
"所谓“阴阳转化”,下列哪项说法是不确切的",D,寒极生热，热极生寒,重阴必阳，重阳必阴,物之生从于化，物之极由乎变,阴胜则阳病，阳胜则阴病,动复则静，阳极反阴
用阴阳学说来说明人体的组织结构，则肾为五脏中的,E,阳脏,阳中之阳脏,阳中之阴脏,阴中之阳脏,阴中之阴脏
"“阴在内，阳之守也；阳在外，阴之使也”,说明了",D,阴阳的相互对立,阴阳的相互消长,阴阳的相互转化,阴阳的互根互用,阴阳的相互制约
"《素问 ·生气通天论》所谓“阴平阳秘，精神乃治”,是指",C,阴阳的对立制约关系正常,阴阳的依存互根关系正常,阴阳的消长平衡关系正常,阴阳的相互转化关系正常,阴阳的对立、消长关系正常
“重阴必阳，重阳必阴”是指,D,阴阳的对立制约,阴阳的互根互用,阴阳的消长平衡,阴阳的相互转化,阴阳的平衡关系失调
“阳损及阴”是指,B,阳盛伤阴,阳虚不能化生阴液，同时出现阴虚的现象,阴阳两虚,阴偏虚,阴虚不能化生阳气，同时出现阳虚的现象
事物或现象阴阳属性的征兆是,C,寒热,上下,水火,晦明,动静
昼夜分阴阳，则上午为,B,阴中之阳,阳中之阳,阳中之阴,阴中之阴,阴中之至阴
以昼夜分阴阳，后半夜为,A,阴中之阳,阳中之阴,阳中之阳,阴中之阴,阴中之至阴
阴阳的相互转化是,B,绝对的,有条件的,必然的,偶然的,量变
“重阴必阳，重阳必阴”说明了阴阳之间的哪种关系,E,相互交感,对立制约,互根互用,消长平衡,相互转化
“寒极生热，热极生寒”说明了阴阳之间的哪种关系,A,相互转化,相互交感,对立制约,互根互用,消长平衡
“阴阳离决，精气乃绝”所反映的阴阳关系是,B,对立制约,互根互用,相互交感,消长平衡,相互转化
下列各项，可用阴阳消长来解释的是,B,阳虚则寒,阳长阴消,寒者热之,阴损及阳,阴胜则阳病
四时阴阳的消长变化，从冬至到立春为,A,阴消阳长,重阴必阳,阴长阳消,重阳必阴,由阳转阴
阴中求阳的适应证是,B,阴虚,阳虚,阴盛,阳盛,阴阳两虚
“壮水之主，以制阳光”的治法，最适于治疗的是,B,阴胜则寒之证,阴虚则热之证,阴盛伤阳之证,阴损及阳之证,阳损及阴之证
木的“所不胜”是,D,水,火,土,金,以上都不是
把“脾”归属土，主要采用的是何种归类法,A,取象比类法,推演络绎法,以表知里法,试探法,反证法
“亢则害，承乃制”说明五行间的,E,相生,相克,相乘,相侮,制化
"“见肝之病，知肝传脾”,从五行之间的相互关系看，其所指内容是",C,木疏土,木克土,木乘土,木侮土,土侮木
属于“子病犯母”的是,C,脾病及肺,脾病及肾,肝病及肾,肝病及心,肺病及肾
据五行相生规律确立的治法是,A,培土生金,佐金平木,泻南补北,抑木扶土,培土制水
“泻南补北”法适用于,C,肾阴虚而相火妄动,心阴虚而心阳亢,肾阴虚而心火旺,肾阴虚而所阳亢,肾阳虚而心火越
一年季节中，“长夏”所属的是,C,木,火,土,金,水
按五行属性分类，五化中属土者是,C,生,长,化,收,藏
火的特性是,D,曲直,稼穑,从革,炎上,润下
五行中火的“所胜”是,D,水,木,土,金,火
下列关于五行生克规律的叙述，错误的 是,D,木为水之子,火为土之母,水为火之所不胜,金为木之所胜,木为土之所不胜
下列关于五行生克规律的表述，正确的是,B,木为土之所胜,木为水之子,火为土之子,水为火之所胜,金为木之所胜
五行调节事物整体动态平衡的机制是,A,制化,我生,克我,我克,生我
下列各项中，属于相乘传变的是,E,肺病及肾,肺病及心,心病及肝,肝病及肾,脾病及肾
下列各项中，属于母病及子的是,E,脾病及肾,肝病及肾,肺病及心,心病及肝,肺病及肾
下列各项中，属于疾病传变较轻的是,A,肺病及肾,肝病及肾,肺病及心,心病及肝,脾病及肾
万物发生和变化的根源是,B,阴阳的运动,阴阳的交感,阴阳的制约,阴阳的互根,阴阳的平衡
实现阴阳交感的基础是,A,阴阳的运动,阴阳的交感,阴阳的制约,阴阳的互根,阴阳的平衡
下午被称为,A,阳中之阴,阳中之阳,阴中之阴,阴中之阳,阴中之至阴
后半夜被称为,D,阳中之阴,阳中之阳,阴中之阴,阴中之阳,阴中之至阴
上述选项可用阴阳互根说明的是,C,阴阳相错，而变由生也,动极者，镇之以静,阴在内，阳之守也,寒极生热，热极生寒,重阴必阳，重阳必阴
上述选项可用对立制约说明的是,B,阴阳相错，而变由生也,动极者，镇之以静,阴在内，阳之守也,寒极生热，热极生寒,重阴必阳，重阳必阴
属“阳中之阳”的脏是,A,心,肺,脾,肝,肾
属“阴中之阳”的脏是,D,心,肺,脾,肝,肾
《黄帝内经》所谓“阴阳之征兆”是,D,天地,男女,左右,水火,上下
《黄帝内经》所谓“阴阳之道路”是,C,天地,男女,左右,水火,上下
“阳中求阴”治疗方法适用的病证是,A,阴虚,阳虚,阴胜,阳胜,阴阳两虚
“阴中求阳”治疗方法适用的病证是,B,阴虚,阳虚,阴胜,阳胜,阴阳两虚
“阴病治阳”的病理基础是,B,阴虚,阳虚,阴胜,阳胜,阴阳两虚
“阳病治阴”的病理基础是,A,阴虚,阳虚,阴胜,阳胜,阴阳两虚
寒者热之适用的病证是,C,阳偏胜,阳偏衰,阴偏胜,阴偏衰,阴阳两虚
热者寒之适用的病证是,A,阳偏胜,阳偏衰,阴偏胜,阴偏衰,阴阳两虚
“壮水之主，以制阳光”适用的病证是,D,阳偏胜,阳偏衰,阴偏胜,阴偏衰,阴阳两虚
“益火之源，以消阴翳”适用的病证是,B,阳偏胜,阳偏衰,阴偏胜,阴偏衰,阴阳两虚
脾病影响及肝属于,E,相乘,母病及子,子病犯母,子母同病,相侮
心病影响及肺属于,A,相乘,母病及子,子病犯母,子母同病,相侮
“脾气散精，上归于肺”说明了,A,五行的相生,五行的相克,五行的相乘,五行的相侮,五行属性归类
见肝之病，知肝传脾，当先实脾，是根据,C,五行的相生,五行的相克,五行的相乘,五行的相侮,五行属性归类
母病及子，子病犯母，是根据五行的何种关系传变,A,五行的相生,五行的相克,五行的相乘,五行的相侮,五行属性归类
乙癸同源，精能生血，说明了,A,五行的相生,五行的相克,五行的相乘,五行的相侮,五行属性归类
以泻肝健脾法治疗肝旺脾虚证的治法称,A,抑木扶土,滋水涵木,益火补土,培土生金,金水相生
以温肾阳的方法而补脾阳的治法是,C,抑木扶土,滋水涵木,益火补土,培土生金,金水相生
脾病及肾，体现的关系是,C,母病及子,子病及母,相乘传变,相侮传变,母子同病
土壅木郁，体现的关系是,D,母病及子,子病及母,相乘传变,相侮传变,母子同病
人的生命源于,A,阴阳交感,阴阳互根,阴阳对立,阴阳转化,阴阳消长
生命形成的根本在于,B,阴阳互根,父母之精交合,阴阳对立,阴阳转化,阴阳消长
人体生命活动的主宰是,B,精,神,血,津液,痰
以下不属于广义之精的是,E,精,津,血,液,气
万物发生和变化的根源是,B,阴阳的运动,阴阳的交感,阴阳的制约,阴阳的互根,阴阳的平衡
以下不属于狭义之神的是,D,思维,意识,情感,生命活动,情绪
人体根本之气是,A,元气,卫气,营气,宗气,经络之气
狭义之精指的是,B,津液,生殖之精,血,水谷之精,脏腑之精
维持生命活动的最基本的精微物质是,C,气,神,精,津液,血
具有生殖功能和繁衍生命的精微物质是,D,水谷之精,广义之精,气,生殖之精,脏腑之精
人的生命源于,A,阴阳交感,父母之精交合,阴阳对立,阴阳转化,阴阳消长
生命形成的根本在于,B,阴阳交感,父母之精交合,阴阳对立,阴阳转化,阴阳消长
构成与维持生命的最基本物质是,A,精,气,神,血,津液
生命活动的内在动力是,B,精,气,神,血,津液
藏象学说主要是研究,D,脏腑生理,脏腑病理,脏腑生理、病理之间的关系,脏腑生理、病理及其相互关系,脏腑组织器官结构形态
五脏的生理特点是,D,传化物而不藏，实而不能满,藏精气而不泻，实而不能满,传化物而不藏，满而不能实,藏精气而不泻，满而不能实,虚实交替，泻而不藏
区分五脏、六腑、奇恒之腑三类的最主要依据是,C,解剖形态的差异,分布部位的不同,功能特点的不同,经脉阴阳属性的不同,病理表现的不同
与精神意识思维活动关系最密切的是,A,心主血脉的生理功能,肝主疏泄的生理功能,脾主运化的生理功能,肺主治节的生理功能,肾主藏精的生理功能
观察心主血脉的功能是否正常，与下列哪项关系较小,C,面色,舌色,爪色,脉象,胸部的感觉
五脏六腑之大主是,A,心,肺,脾,肝,肾
将肺称为“娇脏”的主要依据是,C,肺主一身之气,肺外合皮毛,肺通天气，不耐寒热,肺为水之上源,肺朝百脉
肺为“水之上源”的主要依据是,A,肺位最高，通调水道,肺具有布散津液的功能,肺具有输精于皮毛的功能,肺为脏腑之华盖,饮入于胃，上归于肺
下列哪项不属于肺气宣发的生理作用,E,排出体内浊气,宣散卫气,将津液输布全身，外达皮毛,将代谢后的津液化为汗液排出体外,使全身的血液会聚于肺
脾统血的主要作用机理是,D,控制血液的流速,控制内脏的血液容量,控制外周血液容量,控制血液在脉道内的运行,控制血液上荣头目
脾主运化是指,C,运化水湿,运化水液,运化水谷和水液,运化水谷,化生血液
五脏中，具有“以升为健”特点的脏是,C,心,肝,脾,肾,肺
大怒主要影响机体的,B,呼吸功能,疏泄功能,藏精功能,气化功能,运化功能
下列哪一项与肝的疏泄功能关系最不密切,E,情志的舒畅,脾胃的运纳,血液的循行,津液的输布,呼吸运动的正常
在肾的闭藏功能中，最具有生理意义的是,D,纳气归肾，促进元气的生成,固摄二便，防止二便失禁,固摄水液，防止水液无故流失,固摄精气，防止精气无故散失,摄纳阳气，防止阳气浮越于上
“天癸”的产生取决于,D,先天禀赋的强弱,元气的充沛,肾阴肾阳的协调平衡,肾中精气的充盈,后天之精的充养
维持呼吸深度需下列哪一脏的功能,D,肝,肺,心,肾,脾
气机升降之“枢”是指,D,肺主呼气，肾主纳气,心火下降，肾水上升,脾主升清，肺主肃降,脾气主升，胃气主降,肝主升发，肺主肃降
“肾为气之根”主要是指,D,肾阳,肾为先天之本,肾藏精,肾主纳气,肾主水液
下列哪项在心主血脉中起关键作用,B,心血充盈,心气充沛,心神安宁,心搏如常,脉道通利
心主神志最主要的物质基础是,C,津液,精液,血液,宗气,营气
心为“君主之宫”的理论依据是,C,心总统意志,心主血脉,心主神志,心主情志,心总统魂魄
心的主要生理功能是,B,主藏血,主神志,主运化,主统血,主疏泄
心为五脏六腑之大主的理论依据是,B,心主血,心主神志,心主思维,心总统魂魄,心总统意志
肺主气的功能取决于,A,司呼吸,宗气的生成,全身气机的调节,朝百脉,主治节
下列各项，与肺主通调水道功能关系最密切的是,C,气机的调节,朝百脉,主宣发与肃降,司呼吸,宗气的生成
肺主通调水道的功能主要依赖于,E,肺主一身之气,肺司呼吸,肺输精于皮毛,肺朝百脉,肺主宣发与肃降
下列哪项不是脾的生理功能,A,水谷的受纳和腐熟,水谷的精微的传输,水液的吸收和转输,脏器位置的维系,血液的统摄
脾为气血生化之源的理论依据是,D,气能生血,人以水谷为本,脾主升清,脾能运化水谷精微,脾胃为后天之本
脾的升清作用的确切内涵是,C,脾的阳气主升,脾以升为健,脾气散精，上归于肺,与胃的降浊相对而言,输布津液，防止水湿内生
具有“喜燥恶湿”特性的脏腑是,B,肝,脾,胃,肾,肺
下列各项，不属肝主疏泄功能的是,C,调畅气机,调畅情志,促进骨骼发育,促进脾胃的运化,促进血液运行
肝主疏泄的基本生理功能是,B,调畅情志活动,调畅全身气机,促进脾胃运化,推动血行津布,促进男女生殖
肝藏血的生理功能是指肝,D,贮藏血液,调节血量,统摄血液,贮藏血液、调节血量和防止出血,化生血液与统摄血液
目的视觉功能主要取决于,B,肾中精气的充盈,肝血的充足,脾气的健运,肾阳的蒸化,肾阴的滋养
五脏中，具有“刚脏”特性的是,D,心,肺,脾,肝,肾
下列关于五脏所藏的叙述，错误的 是,E,心藏神,肝藏魂,肺藏魄,脾藏意,肾藏智
肾主纳气的主要生理功能作用是,A,使肺之呼吸保持一定的深度,有助于元气的固摄,有助于精液的固摄,有助于元气的生成,有助于肺气的宣发
肾中精气的主要生理功能是,C,促进机体的生长发育,促进生殖功能的成熟,主生长发育和生殖,化生血液的物质基础,人体生命活动的根本
水火之宅是指,C,脾,胃,肾,肝,肺
被称为“先天之本”的脏是,A,肾,脾,心,肝,肺
下列各项，与肾中精气生理功能关系不密切的是,E,促进机体的生长发育,促进水液代谢,促进生殖功能的成熟,主生长发育和生殖,人体生命活动的根本
《素问 六节藏象论》中，“封藏之本”所指的是,E,心,肺,脾,肝,肾
有主水和纳气功能的脏是,E,肝,心,脾,肺,肾
下列各脏中，其生理特性以升为主的是,E,肺与脾,肺与肝,肝与肾,心与肾,肝与脾
肝藏血与脾统血的共同生理功能是,D,贮藏血液,调节血量,统摄血液,防止出血,化生血液
脏腑关系中，“水火既济”指的是,B,肝与肾,心与肾,肝与脾,肺与脾,肺与肝
下列关于五脏外合五体的叙述，错误的 是,B,心合脉,肝合爪,脾合肉,肺合皮,肾合骨
脾之液为,E,汗,涕,泪,唾,涎
五脏主五液，肾之液为,B,汗,唾,涕,泪,涎
五脏主五志，则忧属,D,心,肾,肝,肺,脾
具有喜润恶燥特性的脏腑是,D,肝,心,脾,胃,大肠
大肠的主要生理功能是,B,受盛,传化糟粕,化物,泌别清浊,通行元气
“利小便而实大便”的理论依据是,E,脾主运化,肺主通调水道,小肠主受盛,小肠主化物,小肠主泌别清浊
小肠的主要生理功能是,E,主运化,主通调水道,主受纳,主腐熟水谷,主泌别清浊
津液输布的主要通道是,D,血府,经络,腠理,三焦,分肉
“太仓”所指的是,B,三焦,胃,小肠,脾,大肠
下列哪项是胃的生理功能,B,水谷精微的转输,水谷的受纳和腐熟,水液的吸收和转输,脏器位置的维系,血液的统摄
脏腑中“主津”作用的是,C,脾,肾,大肠,小肠,三焦
被称为“决渎之官”的是,C,胆,胃,三焦,小肠,膀胱
下列被称为“元神之府”的是,A,脑,髓,骨,脉,胆
大肠功能失常，可直接影响,C,肾失气化,肝失疏泄,肺失肃降,脾失健运,脾失升清
胆汁的分泌与排泄，主要取决于,A,肝主疏泄的功能,胆贮藏胆汁的功能,胆排泄胆汁的功能,脾主运化的功能,小肠泌别清浊的功能
下列不属于 “七冲门”的是,D,吸门,飞门,户门,气门,阑门
称为“水谷气血之海”的是,D,脾,大肠,小肠,胃,三焦
主持诸气，总司人体气化的是,A,三焦,脾,肾,肺,命门
胆属于,D,脏,腑,奇恒之腑,既是腑，又是奇恒之腑,既是脏，又是奇恒之腑
“中焦如沤”主要是描述,D,胃的受纳,脾的散精,小肠泌别清浊,胃的腐熟水谷,大肠传化糟粕
膀胱的生理功能，依赖哪脏之气与膀胱之气的协调,B,心气,肾气,肝气,肺气,脾气
小肠“泌别清浊”的功能，下列哪项是错误的,D,分为水谷精微和食物残渣,吸收水谷精微和津液,对食物残渣和废水的处理,既能传导，又吸收水液,是脾的升清和胃的降浊功能的具体体现
气机升降之“枢”是指哪一组升降关系,C,肺主呼气，肾主纳气,肝主升，肺主降,脾主升，胃主降,心火下降，肾水上承,心主血脉，脾主统血
“乙癸同源”是指哪两脏的关系,D,心与肾,肺与肾,脾与肾,肝与肾,肝与肺
全身的气机主要靠哪两脏调节,D,心与肝,心与肺,肝与脾,肝与肺,肝与肾
五脏关系中主要体现在气血方面的两脏是,A,心与肺,心与肾,肺与脾,脾与肾,肺与肾
与血液生成与运行关系密切的是,C,心与肺,心与肾,心与脾,脾与肝,肺与肝
气血两虚病变多见的脏腑是,C,心与肺,心与肾,心与脾,脾与胃,肺与肝
表现于行血与藏血以及精神调节等方面关系密切的两脏是,D,心与肺,心与肾,心与脾,心与肝,肺与脾
具有精神互用关系的两脏是,B,心与肺,心与肾,肺与脾,脾与肝,肺与肝
在气的生成和水液代谢方面关系密切的是,C,心与肺,心与肾,肺与脾,脾与肝,肺与肝
与气机升降调节关系密切的两脏是,E,心与肺,心与肾,肺与脾,脾与肝,肺与肝
在水液代谢、呼吸运动及阴阳互资等方面密切相关的两脏是,E,心与肺,脾与肾,肾与肝,肝与肺,肺与肾
具有藏泄互用关系的两脏是,C,心与肺,肺与肾,肾与肝,肝与脾,脾与心
具有先后天互促互助关系的两脏是,E,心与肺,肺与肾,肾与肝,肝与脾,脾与肾
“太阴湿土，得阳始运；阳明燥土，得阴自安”说明了脾胃之间存在的哪一种关系,D,升降相因,纳运协调,以膜相连,燥湿相济,表里配合
乙癸同源指的是,B,金水相生,精血互化,津气互生,水火既济,精气互化
肺 为,B,水脏,娇脏,刚脏,孤府,子脏
肝为,C,水脏,娇脏,刚脏,孤府,子脏
肺 为,E,君主之官,将军之官,作强之官,仓廪之官,相傅之官
肾 为,C,君主之官,将军之官,作强之官,仓廪之官,相傅之官
称“先天之本”的是,D,心,脾,肝,肾,肺
称“罢极之本”的是,C,心,脾,肝,肾,肺
与气的生成关系最密切的是,C,心、肺,心、肝,肺、脾,肺、肝,肺、肾
与呼吸运动关系最密切的是,E,心、肺,心、肝,肺、脾,肺、肝,肺、肾
“乙癸同源”的“乙癸”所指的脏是,E,心脾,肝肺,脾肾,心肾,肝肾
“水火既济”的“水火”所指的脏是,D,心脾,肝肺,脾肾,心肾,肝肾
三焦为,A,孤府,中精之府,精明之府,血之府,筋之府
胆 为,B,孤府,中精之府,精明之府,血之府,筋之府
胆 为,B,仓廪之官，五味出焉,中正之官，决断出焉,受盛之官，化物出焉,相傅之官，治节出焉,作强之官，伎巧出焉
小肠为,C,仓廪之官，五味出焉,中正之官，决断出焉,受盛之官，化物出焉,相傅之官，治节出焉,作强之官，伎巧出焉
为“水火相济”的是,A,心与肾,肝与脾,肺与脾,肺与肾,肾与肝
为“乙癸同源”的是,E,心与肾,肝与脾,肺与脾,肺与肾,肾与肝
为“金水相生”的是,D,心与肾,肝与脾,肺与脾,肺与肾,肾与肝
气在中医学理论体系中比较完整的概念是,C,泛指机体的生理功能,构成世界的基本物质,构成人体和维持人体生命活动的最基本物质,指人体抗病能力,维持人体生命活动的基本物质
在气的生成过程中，尤为重要的是,B,肺的呼吸功能,脾胃的运化功能,肾的闭藏功能,肺肾的协调功能,心的主血功能
气的运动受阻，不畅通，称为,A,气机不畅,气结,气闭,气逆,气虚
全身气机调畅最重要的环节是,C,肺主呼气，肾主纳气,心火下降，肾水上升,肝气主升，肺气主降,脾气主升，胃气主降,肺气宣发，亦主肃降
气机升降之枢纽是指,D,肺主呼气，肾主纳气,心火下降，肾水上升,肝主左升，肺主右降,脾气主升，胃气主降,以上都不是
生命的基本特征为,A,气化作用,气机升降,气血充盈,脏腑功能正常,经络功能正常
下列不属于气的固摄作用的是,D,控制血液运行于脉中,防止汗出过多,固摄精液,固摄内脏的位置,控制尿液的排泄
精气血津液之间相互转化依靠气的,E,推动作用,温煦作用,防御作用,固摄作用,气化作用
人体热量来源，主要是,A,气,血,精,液,津
易于感冒，是气的什么功能减弱的表现,C,推动作用,温煦作用,防御作用,固摄作用,气化作用
推动人体生长发育及脏腑生理活动的气是,A,元气,宗气,营气,卫气,动气
运行在脉外并散行于全身的气是,D,元气,宗气,营气,卫气,心气
清气与水谷之气结合关系到,B,元气的生成,宗气的生成,营气的生成,卫气的生成,全身之气的生成
与肺主一身之气关系最密切的是,E,元气,心气,营气,卫气,宗气
营气的作用主要是,B,润泽肌肤,化生血液,温煦内脏,充养脑髓,化生神志
与语言、声音、呼吸关系最为密切的是,C,元气,肺气,宗气,中气,心气
与血液生成关系最密切的脏腑是,D,心,肺,肝,脾,肾
机体精神活动的物质基础是,C,精,气,血,津,液
下列哪一项不属于津液,E,胃液,肠液,涕液,泪液,血液
灌注于骨节、脏腑、脑髓的是,E,精,气,血,津,液
津液输布的主要通道是,D,脉管,经络,腠理,三焦,分肉
与津液输布关系最密切的脏腑组是,D,脾、肾、小肠、三焦,脾、肝、肾、三焦,肺、肾、三焦、小肠,肝、肺、脾、肾、三焦,心、肾、小肠、膀胱
气与血的关系主要表现在,B,来源与分布方面,生化与运行方面,功能与结构方面,先天与后天方面,调节与统摄方面
治疗血瘀证，常酌配行气药物，其理论依据是,A,气能行血,气能生血,气能摄血,血能载气,血能化气
治疗大出血时，用益气固脱之法，其理论依据是,C,气能生血,气能行血,气能摄血,血能载气,血能生气
血虚引起气虚病变的理论根据是,A,血能化气,气能行血,气能摄血,气能生血,血能载气
治疗血虚证时，常在补血药中配用益气之品的理论依据是,E,血能生气,气能行血,气能摄血,血能载气,气能生血
临床上治疗多汗、漏汗时，可采用补气之法，其理论依据是,B,气能行津,气能摄津,气能生津,津能载气,津能生气
"“夺血者无汗，夺汗者无血”,说明下列哪两者的关系",B,气与血,津液与血,气与津液,津液与汗,血与精
“夺血者无汗”的生理基础是,E,肝肾同源,乙癸同源,津液同源,精血同源,血汗同源
津液化为汗液排出体外，主要靠哪脏功能,B,心主血脉,肺主宣发,肾主气化,肝主疏泄,脾主统摄
血和津液生成的共同物质来源是,A,水谷精微,宗气,精,元气,营气
大出血后而出现下列症状，可用“津血同源”理论解释的是,C,面白,疲乏,口渴,舌淡,头晕
“亡血家不可发汗”的告诫，是哪一项理论的实际应用,D,精血同源,气血同源,肝肾同源,血汗同源,津血同源
补气药与利水药配合治疗水肿病，依据的理论是,B,气能生津,气能行津,气能摄津,津能载气,津能生气
宗气的分布是,A,上出息道，下走气街,熏于育膜，散于胸腹,通过三焦，流行全身,上荣头目，达于周身,与血同行，环周不休
卫气的分布是,B,上出息道，下走气街,熏于育膜，散于胸腹,通过三焦，流行全身,上荣头目，达于周身,与血同行，环周不休
营气的分布是,E,上出息道，下走气街,熏于育膜，散于胸腹,通过三焦，流行全身,上荣头目，达于周身,与血同行，环周不休
元气的分布是,C,上出息道，下走气街,熏于育膜，散于胸腹,通过三焦，流行全身,上荣头目，达于周身,与血同行，环周不休
气不能外达面结聚于内称为,D,气滞,气逆,气陷,气闭,气脱
气的上升太过和下降不及称为,B,气滞,气逆,气陷,气闭,气脱
与汗液的排泄关系最密切的是,D,心,肝,脾,肺,肾
与尿液的生成与排泄关系最密切的是,E,心,肝,脾,肺,肾
液的作用重在,D,润泽肌肤,营养周身,温煦内脏,补益脑髓,宣发卫气
津的作用重在,A,润泽肌肤,营养周身,温煦内脏,补益脑髓,宣发卫气
经络系统中，多呈纵行、直行者为,A,经脉,络脉,十五别络,十二经筋,奇经八脉
“经络”一词首见于,A,《黄帝内经》,《难经》,《伤寒论》,《针灸甲乙经》,《脉经》
经络系统中，与脏腑有直接络属关系者为,D,经脉,络脉,十五别络,十二经脉,奇经八脉
有加强表里两条经脉在体表联系作用者为,C,浮络,络脉,十五别络,孙络,十二经别
有加强表里两条经脉在体内联系作用者为,E,浮络,络脉,十五别络,孙络,十二经别
十二经脉之气结、聚、散、络于关节的体系者为,B,浮络,十二经筋,十五别络,孙络,十二经别
能调节十二经脉气血，主要与奇恒之腑有较密切关系者为,D,浮络,十二经筋,十五别络,奇经八脉,十二经别
十二经脉及其所属络脉在体表的辖区为,D,浮络,十二经筋,十五别络,十二皮部,十二经别
下列名称错误的是,D,手太阴肺经,足阳明胃经,手厥阴心包经,手太阳膀胱经,足少阴肾经
内踝上8寸以下，主要行于下肢内侧前缘的经脉是,C,足太阴脾经,足阳明胃经,足厥阴肝经,足少阳胆经,足少阴肾经
足三阴经的走向是,D,从胸走手,从手走头,从头走足,从足走腹胸,从足走手
上达头部巅顶的经脉是,C,手太阴肺经,足阳明胃经,足厥阴肝经,足太阳膀胱经,足少阴肾经
在头面部，分布于侧头部的经脉是,E,太阴经,阳明经,厥阴经,太阳经,少阳经
脾经的终端与何经的起点相接,D,肺经,胃经,肝经,心经,肾经
十二经脉中，哪条经脉在体表循行最长，经过部位最多,A,足少阳胆经,足太阴脾经,足阳明胃经,足太阳膀胱经,足少阴肾经
十二经脉气血流注形式为,C,手足贯注,直线贯注,循环贯注,左右贯注,上下贯注
循行于背部正中线的经脉是,E,阳维脉,阳跷脉,带脉,任脉,督脉
循行于胸前正中线的经脉是,D,阳维脉,阳跷脉,带脉,任脉,督脉
分别起自四肢，循行于体腔脏腑深部，上出颈项浅部的是,B,浮络,十二经别,十五别络,十二皮部,十二经筋
手三阳经与足三阳经均会于,A,大椎穴,印堂穴,百会穴,气海穴,人中穴
围腰一周循行的经脉是,C,阳维脉,阳跷脉,带脉,任脉,督脉
主要起维系全身经脉作用的经脉是,D,正经,奇经,阳跷脉、阴跷脉,阳维脉、阴维脉,督脉
主司妇女带下的奇经脉是,C,阳维脉,阳跷脉,带脉,任脉,督脉
能调节十二经气血的经脉是,D,阳维脉,阳跷脉,阴跷脉,冲脉,督脉
具有“阴脉之海”之称的经脉是,A,任脉,阳跷脉,阴跷脉,阴维脉,督脉
任脉的终点是,A,目眶下,口唇,会阴,巅顶,目内眦
具有“阳脉之海”之称的经脉是,E,阳维脉,阳跷脉,阴跷脉,阴维脉,督脉
对全身络脉起主导作用的是,E,正经,奇经,阳跷脉、阴跷脉,阳维脉、阴维脉,别络
循行分布特点可用“离、合、出、入”加以概括的是,E,正经,奇经,十五别络,十二皮部,十二经别
创立“引经报使”理论的医家是,B,刘完素,张元素,孙思邈,张子和,张介宾
胆经的起点是,A,目外眦,胸中,无名指末端,目内眦,食指端
