Question,answer,A,B,C,D,E,
进食梗阻，食不得下，滴水难进，伴胸膈疼痛，面色暗黑，形体消瘦，时而呕吐，吐物为咖啡色，便干难解，舌质暗有瘀斑，苔白脉涩，治疗当选(    )。,B,沙参麦冬汤,通幽汤,启膈散,十全大补汤,,
泄泻发生的关键因素是(    )。,D,脾失健运,脾肾失运,大肠传导失常,脾虚湿盛,,
泄泻的治疗原则是(    )。,C,温补脾肾,涩肠止泻,运脾祛湿,抑肝健脾,,
藿香正气散治疗泄泻适用于(    )。,B,脾虚泄泻,寒湿泄泻,伤食泄泻,湿热泄泻,,
湿热泄泻的最佳选方是(    )。,D,小承气汤,保和丸,六一散,葛根芩连汤,,
湿热泄泻的治法是(    )。,B,清暑利湿,清肠利湿,清热化湿,清热止泻,,
黎明前脐腹作痛，肠鸣即泻，泻后即安，泻下有不消化食物，小腹冷痛，形寒肢冷，腰膝酸软，舌淡苔白，脉细弱，治疗可用(    )。,B,附子理中汤,四神丸,参苓白术散,藿香正气散,,
导致泄泻发生的主要因素是(    )。,D,寒,热     ,暑,湿,,
胸胁胀闷，嗳气食少，抑郁恼怒或紧张则腹痛泄泻，舌淡红，脉弦，治疗可选(    )。,C,逍遥散,柴胡疏肝散,痛泻要方,六磨汤,,
寒湿泄泻可选用(    )。,D,正气天香散,良附丸,四神丸,藿香正气散,,
泄泻清稀，甚则如水样，腹痛肠鸣，脘闷食少，恶寒发热身痛，苔薄白，脉浮。治疗选(    )为宜。,B,藿香正气散,荆防败毒散,胃苓汤,理中丸,,
夏暑期间泄泻腹痛，泻下急迫，肛门灼热，身热头重、烦渴自汗，小便短赤，脉濡数。治疗当选(    )。,B,葛根芩连汤,新加香薷饮合六—,银翘解毒散,芍药甘草汤,,
腹痛泄泻，泻而不畅，臭如败卵，伴有不消化食物，脘腹胀满，泻而不畅，嗳腐酸臭，不思饮食，脉滑。治疗宜用(    )。,B,保和丸,枳实导滞丸,小承气汤,越鞠保和丸,,
脾虚泄泻久治不愈而见腹中冷痛，喜温喜按，手足不温，选用(．  )治疗最佳。,B,参苓白术散,附子理中汤,补中益气汤,四神丸,,
补中益气汤适用于(    )。,B,脾虚泄泻,久泻中气下陷,久泻肾阳不足,以上均可,,
治疗泄泻提出“通因通用”法的是(    )。,C,《素问·宣明五气篇》,《医宗必读·泄泻》,《金匮要略·呕吐哕下利病脉证治》,《素问·举痛论》,,
便秘的病位在(    )。,C,脾,小肠,大肠,胃,,
阴寒凝滞型便秘的治法是(    )。,C,温阳润肠,温脾润肠,温里散寒，通便导滞,温肾润肠,,
血虚便秘选(    )治疗为宜。,B,当归羊肉汤,润肠丸,麻子仁丸,四物汤,,
大便艰涩，排出困难，小便清长，面色觥白，四肢不温，喜热怕冷，腹中冷痛，舌淡苔白，脉沉迟，此便秘属(    )。,C,气虚便秘,血虚便秘,阳虚便秘,气秘,,
麻子仁丸治便秘的作用是(    )。,C,补气润肠，健脾升阳,养血润肠,泻热导滞，润肠通便,滋阴润肠通便,,
气机郁滞型便秘选(    )治疗最佳。,A,六磨汤,龙胆泻肝汤,柴胡疏肝散,小承气汤,,
大黄附子汤适用于(    )便秘。,C,气虚便秘,阳虚便秘,阴寒积滞,气机阻滞,,
血虚便秘的治法是(    )。,B,滋阴养血通便,养血润肠,补气养血通便,温肾养血润肠,,
阳虚便秘的最佳选方是(    )。,B,金匮肾气丸,济川煎,理中汤,小建中汤,,
阳虚便秘的治法是(    )。,B,益气温脾通便,温阳润肠,补气润肠,补气滋阴润肠,,
阴虚便秘的治法是(    )。,B,补气滋阴，润肠通便,滋阴润肠通便,养血润肠通便,益气养血通便,,
阴虚便秘的最佳选方是(    )。,D,沙参麦冬汤,益胃汤,六味地黄汤,增液汤,,
气机阻滞便秘的治法是(    )。,B,疏肝顺气通便,顺气导滞,降气调脾导滞,疏肝健脾导滞,,
肠胃积滞便秘服药后大便已通但通而不爽，为通腑缓下，以免再秘，选(    )最佳。,B,六磨汤,青麟丸,润肠丸,麻仁滋脾丸,,
血虚便秘经治疗后血虚已复，大便仍干燥者，可选（  ）为最佳。,B,润肠丸,五仁丸,麻仁滋脾丸,六味地黄丸,,
蛔虫喜寄生在(    )。,B,大肠,小肠,胆,胃,,
引起蛔虫病的病因是(    )。,A,误食沾有蛔虫卵的生冷蔬菜、瓜果,脾胃虚弱,过食寒凉药物,食腐败之食物,,
乌梅丸适用于蛔虫病的(    )较好。,A,腹痛不甚或腹不痛者,驱虫后，脾胃运化未恢复者,蛔虫钻入阑门者,,,
蛔虫病，病情轻者宜选(    )。,B,乌梅丸,化虫丸,香砂六君子汤,小承气汤,,
蛔虫病，病情轻者的治法是(    )。,B,以安蛔为主,以驱蛔为主,以泻下为主,调理脾胃为主,,
患蛔虫病已久，面黄肌瘦，脐周痛，作止无定，大便中蛔虫，不思饮食，喜食煤渣。治疗时选(    )为宜。,C,化虫丸,乌梅丸,香砂六君子汤,附子理中丸,,
患者腹痛剧烈，恶心欲吐，呕吐物中带有蛔虫，素有吐蛔病史，睡中磨齿流涎。治疗当选(    )。,B,驱蛔，健运脾胃,安蛔，健运脾胃,健运脾胃,以上均可,,
预防蛔虫病的措施是(    )。,B,增强体质,养成清洁卫生的习惯,常服驱蛔药,以上均是,,
粪毒犯肤型钩虫病的治法是(    )。,B,杀虫宣肺,杀虫止痒,杀虫健脾,杀虫补气,,
粪毒犯肤型钩虫病选(    )治疗为宜。,B,乌梅丸,桃叶泄毒汤,黄病绛矾丸,止嗽散,,
止嗽散用于(    )钩虫病。,C,脾虚湿滞型,气血两虚型,虫邪犯肺型,粪毒犯肤型,,
虫邪犯肺型钩虫病治法是(    )。,B,宣肺杀虫,宣肺化痰止咳,补肺健脾,补益气血止咳,,
患者面色萎黄而虚浮，善食易饥，食后腹胀，异嗜生米，神疲肢软，舌淡苔薄，脉濡。治疗选(    )为宜。,B,桃叶泄毒汤,黄病绛矾丸,八珍汤,补中益气汤,,
脾虚湿滞钩虫病的治法是(    )。,A,健脾燥湿，和中补血,补益气血,益气健脾燥湿,健脾燥湿杀虫,,
某患者颜面、肌肤苍白，面足浮肿，脘闷不舒，倦怠乏力，精神不振，心悸气短，舌质淡胖，脉弱，治疗当选(    )。,A,八珍汤加减,香砂六君子汤加减,人参归脾汤加减,桃叶泄毒汤加减,,
钩虫病气血两虚型的治法是(    )。,B,补中益气,补益气血,补气健脾,补气杀虫,,
绦虫病的高发区是(    )。,C,北方,南方,喜食生肉的地区,喜食烧烤者,,
治疗绦虫病选用(    )为宜。,A,槟榔,乌梅丸,桃叶泄毒汤,化虫丸,,
诊断黄疸必具的症状是(    )。,C,尿黄,面黄,目黄,身黄,,
患者身面黄无泽诊为(    )。,C,阴黄,黄胖,萎黄,黄疸,,
引起黄疽最主要的病邪是(    )。,B,痰湿之邪,湿浊之邪,痰浊之邪,寒饮之邪,,
阴黄的致病因素是(    )。,D,寒邪,湿热,水湿,寒湿,,
首先提出阴黄阳黄辨证论治的著作是(    )。,D,《外台秘要》,《诸病源候论》,《丹溪心法》,《卫生宝鉴》,,
“黄家所得，从湿得之”出自(    )。,B,《伤寒论》,。《金匮要略》,《丹溪心法》,《景岳全书》,,
《金匮要略》提出“黄疸”治法可用(    )。,A,利小便法,汗法,吐法,泻法,,
黄疸由湿邪所致，若湿从热化其治疗原则是(    )。,A,清热利湿,清热退黄,清热利胆,清热燥湿,,
阳黄热重于湿宜用的方剂是(    )。,A,茵陈蒿汤,茵陈五苓散,茵陈术附汤,尤胆泻肝汤，,,
急黄的致病因素是(    )。,A,湿热挟时邪疫毒,湿热内蕴、蒙闭心包,肝胆郁热阻滞,湿热熏蒸、湿遏热伏,,
阳黄的致病因素是(    )。,C,寒湿,湿浊,湿热,痰湿,,
患者身目发黄鲜明，右胁剧痛、发热、口苦咽干，舌红苔黄，脉弦滑数，辨证为(    )。,A,胆腑郁热型阳黄,湿重于热型阳黄,热重于湿型阳黄,寒湿阻遏型阴黄,,
黄疸由湿邪所致，若湿从寒化其治则是(    )。,C,温中燥湿,湿通中焦,温中化湿,温中健脾,,
患者身目发黄如橘皮，身热不扬，纳呆便溏，厌油腻，恶心呕吐，口粘不渴，小便不利，舌苔厚腻微黄，脉濡缓或脉弦滑，证属(    )。,A,湿重于热,热重于湿,胆腑郁热,寒湿阻遏,,
黄疸病久在治疗上应注重(    )。,C,补气养血,攻补兼施,扶助正气,先补后攻,,
患者面目及肌肤发黄，黄色较淡，面色无华，唇淡，心悸气短，倦怠乏力，舌淡苔白脉细弱，辨证为(    )。,C,脾虚湿郁型黄疸,心脾两虚型心悸,脾虚血亏型黄疸,脾胃虚弱型萎黄,,
脾虚血亏型阴黄选用的方剂是(    )。,B,归脾汤,小建中汤,参苓白术散,六君子汤,,
患者身目俱黄，黄色较淡，食欲不振，心悸气短，倦怠乏力，便溏，舌淡苔白，脉濡细，可辨证为(    )。,A,脾虚湿郁型黄疽,脾虚血亏型阴黄,寒湿阻遏型阴黄,气血亏虚型萎黄,,
脾虚湿郁型阴黄选用方药是(    )。,B,归脾汤,六君子加茵陈、柴胡,茵陈五苓散,黄芪建中汤,,
下列(    )不是胁痛的病理因素。,D,气滞,血瘀,湿热蕴结,痰阻中焦,,
《内经》明确指出了胁痛的发生主要是(    )。,A,肝胆病变,肝胃病变,脾胃病变,经络病变,,
胁肋刺痛固定不移、拒按，舌质紫暗，脉沉弦，可选用的方剂是(    )。,C,膈下逐瘀汤,金铃子散合失笑散,血府逐瘀汤,身痛逐瘀汤,,
治疗肝阴不足的胁痛可用养阴柔肝法，著名的方剂是(    )。,A,一贯煎,六味地黄丸,滋水清肝饮,化肝煎,,
胁痛肝气郁结型的治法(    )。,B,理气通络,疏肝理气,理气柔肝,疏肝通络，,,
患者胁肋痛走窜不定，情志不舒则痛增，善太息，苔薄白，脉弦，辨证为(    )。,A,肝气郁结胁痛,血瘀阻络胁痛,肝气犯胃胃痛,肝胆气郁胆胀,,
胁痛虚证的治疗原则是(    )。,A,滋阴养血柔肝,补肝益气通络,疏肝健脾和胃,温经养血疏肝,,
患者胁肋胀痛拒按或引及肩部伴脘闷纳呆，恶心呕吐，厌油腻，口干口苦或有黄疸，舌苔黄腻，脉弦滑，可辨证为(    )。,B,湿重于热型黄疸,湿热蕴结型胁痛,热重于湿型黄疸,肝胆湿热型胆胀,,
湿热蕴结型胁痛选用的方剂是(    )。,B,茵陈蒿汤,龙胆泻肝汤,茵陈四苓汤,柴胡疏肝散,,
血瘀阻络型胁痛的治法是(    )。,B,疏肝理气化瘀,活血化瘀、理气通络,活血化瘀、疏肝理气,理气活血,,
最早记载胆胀病名的著作是(    )。,A,《内经》,《伤寒杂病论》,《临证指南》,《柳州医话》,,
患者右胁灼热疼痛，口苦咽干，面红目赤，便秘、溲短赤，心烦失眠，舌红，苔黄厚而干，脉弦数，辨证为(    )。,B,湿热蕴结胁痛,胆腑郁热型胆胀,胆腑郁热型黄疸,肝胆气郁型胆胀,,
肝胆气郁型胆胀和肝气郁结型胁痛均可选用(    )。,A,柴胡疏肝散,金铃子散合失笑散,清胆汤,五磨子饮,,
右胁刺痛，痛处固定，面色晦暗，口干口苦，舌质紫暗，脉弦细涩，选用的方药是(    )。,B,血府逐瘀汤,四逆散合失笑散,身痛逐瘀汤,膈下逐瘀汤,,
胆腑郁热型胆胀治疗方剂是(    )。,C,龙胆泻肝汤,大柴胡汤,清胆汤,茵陈蒿汤,,
患者右胁隐痛，有灼热感，口燥咽干，急燥易怒，胸中烦热，头晕目眩，午后低热，舌红少苔，脉细数辨证为(    )。,B,肝阴不足型胁痛,阴虚郁滞型胆胀,阳虚郁滞型胆胀,脾虚血亏型阴黄,,
患者右胁隐痛，时作时止，呕吐清水畏寒肢冷，神疲乏力，气短懒言，舌淡苔白，脉弦弱无力辨证为(    )。,A,阳虚郁滞型胆胀,阴虚郁滞型胆胀,脾虚血亏型阴黄,寒湿阻遏型阴黄,,
温阳益气，疏肝利胆法可适用于(    )。,C,脾虚血亏型阴黄,肝气郁滞型胁痛,阳虚郁滞型胆胀,气滞血瘀型胆胀,,
胆胀阳虚郁滞的治疗方药是(    )。,B,一贯煎,理中汤加味,四逆散,大建中汤,,
胆胀气滞血瘀的治疗法则是(    )。,B,理气活血、通络止痛,疏肝利胆、理气活血,疏肝理气、活血化瘀,活血化瘀、理气解郁,,
下列哪项不是鼓胀的病因(    )。,B,情志所伤,外感六淫,酒食不节,黄疽积聚日久,,
鼓胀的临床主症(    )是错误的。,D,腹胀大如鼓,皮色苍黄,脉络暴露,腰以下浮肿,,
最早记载鼓胀病证的著作是(    )。,B,《肘后备急方》,《内经》,《金匮要略》,《诸病源候论》,,
鼓胀气滞湿阻的治疗法则是(    )。,A,疏肝理气  健脾利水,疏肝解郁  燥湿健脾,理气解郁  健脾利水,疏肝理气  健脾化湿,,
鼓胀病变部位在(    )。,B,肝脾胃,肝脾肾,肝胆脾,肝胆肾,,
鼓胀总的治疗原则是(    )。,A,攻补兼施,先补后攻,先攻后补,攻逐水饮,,
患者腹大胀满，按之如囊裹水，胸脘胀满，得热则舒，身困重，畏寒肢冷，面浮，便溏，苔白腻水滑，脉弦迟，辨证为(    )。,B,寒湿阻遏型黄疸,寒湿困脾型鼓胀,脾肾阳虚型鼓胀,湿热蕴结型鼓胀,,
实脾饮用于治疗(    )型鼓胀。,C,气滞湿阻,脾肾阳虚,寒湿困脾,湿热蕴结,,
清热利湿，攻下逐水的治疗法则适用于(    )。,A,湿热蕴结型鼓胀,肝胆湿热型胆胀,湿热蕴结型胁痛,湿重于热型黄疸,,
肝脾血瘀型鼓胀选用的方剂是(    )。,C,血府逐瘀汤,膈下逐瘀汤,调营饮,少腹逐瘀汤,,
患者腹大坚满拒按，烦热口苦，渴不欲饮，小便短赤，大便秘结，面目肌肤发黄，舌边尖红，苔黄腻或灰黑而润，脉弦数，证属(    )型鼓胀。,C,气滞湿阻,寒湿困脾,湿热蕴结,肝肾阴虚,,
鼓胀若水停过多可酌情选用(    )。,B,破血利水法,攻逐水饮法,行气泻水法,通利二便法,,
气滞湿阻型鼓胀的治疗方剂是(    )。,A,柴胡疏肝散合胃苓汤,柴胡疏肝散合四逆散,柴胡疏肝散合五苓散,胃苓汤合逍遥丸,,
患者腹部胀大，按之不坚，胁下胀满疼痛，食少，食后胀满，嗳气后稍减，尿少，苔白腻，脉弦细，辨证为(    )。,B,肝气郁结型胁痛,气滞湿阻型鼓胀,寒湿困脾型鼓胀,肝胆气郁型胆胀,,
水肿的病理主要在（    ）三脏。,C,心肝脾,肝脾肾,肺脾肾,心脾肾,,
患者眼睑浮肿迅及全身，皮色润泽光亮，伴恶风寒发热，咽喉肿痛，舌红，脉浮滑数，最佳选方是(    )。,B,防己黄芪汤,越婢加术汤,五皮饮,麻黄连翘赤小豆汤,,
水肿在(    )情况下用攻下逐水法最适宜。,B,高度浮肿，神志不清,高度浮肿，正气尚旺,高度浮肿，正气已衰,颜面浮肿，兼有表证,,
患者身发疮痍，发热，继则眼睑浮肿，延及四肢，小便不利，舌质红，苔薄黄，脉滑数，证属(    )。,D,湿热壅盛之阳水,水湿浸渍之阳水,风水泛滥之阳水,湿毒浸淫之阳水,,
患者恶寒发热，头痛无汗，肢体酸痛，眼睑浮肿延及四肢，小便不利，舌淡红，苔薄白，脉浮紧，证属(    )。,A,风水泛滥之阳水,水湿浸渍之阳水,湿热壅盛之阳水,湿毒浸淫之阳水,,
下列说法正确的是(    )。,C,水肿均从眼睑肿起,水肿患者不伴腹水,鼓胀与水肿均可见腹水,鼓胀只有腹水，五四肢浮肿,,
患者水肿，腰以下为甚，脘闷纳呆，肢冷神倦，尿少便溏，舌质淡，苔白腻，脉沉缓，最佳选方为(    )。,C,温脾汤,参苓白术散,实脾饮,胃苓汤,,
把水肿分为阳水和阴水两大类者是(    )。,A,朱丹溪,张景岳, 喻昌,刘完素,,
哪本书记载了疮痍可以引起水肿?,C,《证治汇补》,《金匮要略》,《医学入门》,《医宗必读》,,
水湿浸渍型水肿的治法为(    )。,D,健脾化湿，益气升阳,补脾益肾，化气行水,温阳健脾，化气行水,健脾化湿，通阳利水,,
下列(    )对阳水、阴水的鉴别无明显意义。,D,起病的缓急,感邪的不同,病程的长短,浮肿的程度,,
水肿的发病以(    )脏为本。,D,心,肺,脾,肾,,
水肿的调摄护理中，(    )最重要。,C,忌食辛辣,戒烟酒,戒盐,忌肥甘厚味,,
将水肿根据五脏证候分为心水、肺水、肝水、脾水、肾水的著作是(    )。,B,《素问》,《金匮要略》,《灵枢》,《医学入门》,,
患者遍体轻度浮肿，面色萎黄，晨起头面肿甚，午后下肢肿，能食但体倦，大便溏，小便正常，脉沉细，证属(    )。,B,脾阳虚衰之阴水,脾气虚弱之阴水,水湿浸渍之阴水,脾肾两虚之阴水,,
风水泛滥之阳水患者，若表证渐解，身重而水肿不退者，可按哪一型水肿论治?,C,脾阳虚衰,肾阳衰微,水湿浸渍,湿热壅盛,,
患者先有心悸，气短神疲，形寒肢冷，舌质暗，脉虚数，继则出现水肿，腰以下为甚，按之凹陷不起，最佳选方为(    )。,A,真武汤,济生肾气丸,五皮饮,胃苓汤,,
患者小便涩痛，小腹胀满疼痛，苔薄白，脉沉弦，最佳选方为(    )。,C,八正散,石苇散,沉香散,小蓟饮子,,
患者小便艰涩，排尿时突然中断，腰腹绞痛牵及小腹，舌红，苔薄黄，最佳选方为(    )。,B,八正散,石苇散,无比山药丸,知柏地黄丸,,
患者小腹坠胀，尿有余沥，面色无华，舌淡，脉虚细无力，证属(    )淋证。,B,肝郁气滞型,中气下陷型,脾肾两虚型,脾阳不足型,,
虚证膏淋的最佳选方为(    )。,A,膏淋汤,萆薢分清饮,补中益气汤,无比山药丸,,
淋证患者小便涩痛时见恶寒发热，其病机为(    )。,B,外邪束表，阳气被遏,湿热熏蒸，邪正相争,气分热盛，邪正相争,邪人少阳，邪正相争,,
提出：“治淋之法，有通有塞，要当分别，有瘀血积塞住溺管者，宜先通，无瘀积而虚滑者，宜峻补”的著作是(    )。,B,《外台秘要》,《临证指南医案》,《诸病源候论》,《金匮要略》,,
患者小便热涩刺痛，尿色深红，或夹有血块，苔黄，脉滑数，最佳选方为,D,知柏地黄丸,八正散,石苇散,小蓟饮子合导赤散,,
下列关于尿浊的论述，错误的是(    )。,C,小便混浊,白如泔浆,排尿疼痛,与脾胃关系密切,,
淋证日久不愈，反复发作，可转为(    )。,B,气淋,劳淋,血淋,膏淋,,
患者小便频急涩痛，尿黄赤，伴寒热，口苦，呕恶，最佳选方为(    )。,D,八正散,石苇散,五味消毒饮,八正散合小柴胡汤,,
患者面赤、心烦、口渴，小便黄赤灼热，尿色鲜红，舌红，脉数，诊断为(    )。,B,血淋,尿血,消渴,气淋,,
首先将淋证做临床分类的书籍是(    )。,B,《金匮要略》,《中藏经》,《内经》,《诸病源候论》,,
关于热淋的叙述，(    )是错误的。,B,小便频急涩痛,必有恶寒发热,小腹拘急胀痛,尿道灼热感,,
气淋实证的治法是(    )。,D,行气化瘀      ,宣肺行气,升提中气,利气疏导,,
患者小便涩滞，尿色淡红，腰疫乏力，舌淡红，脉细数，选方为(    )。,B,小蓟饮子,知柏地黄丸    ,八正散,沉香散,,
(    )不是癃闭的主症。,C,小便闭塞不通,全日总尿量减少,尿时涩痛,排尿困难,,
《素问·宣明五气篇》谓：“膀胱不利为(    )，不约为遗溺。”,D,淋,胀,闭,癃,,
导尿术最早记载于(    )。,D,《丹溪心法》,《内经》,《景岳全书》,《备急千金要方》,,
关于癃闭的诊断，(    )是错误的。,C,多见于老年男性,排尿困难,与呕吐并见,常有水肿病史,,
下列说法(    )是错误的。,A,关格均由癃闭发展而来,癃闭可发展为关格,淋证可发展为关格,水肿可发展为关格,,
患者小便点滴不通，短赤灼热，口渴不欲饮，舌红，苔黄腻，脉数，最佳选方为(    )。,A,八正散,清肺饮,沉香散,石苇散,,
患者小便点滴不通，烦渴欲饮，咳嗽，苔薄黄，脉数，最佳选方为(    )。,B,八正散,清肺饮,沉香散,石苇散,,
患者小便点滴而下，小腹胀满疼痛，舌质紫暗，脉细涩，治法是(    )。,D,清热化湿，通闭开窍,益气健脾，升清降浊,疏利气机，通利小便,行瘀散结，通利水道,,
患者小便不利，全日尿量减少，伴小腹坠胀，肛门下坠，舌淡，脉弱，证属哪一型癃闭?,D,肝郁气滞,肾阳衰惫,肺热气壅,脾气不升,,
患者时欲小便而不得出，小腹坠胀，五心烦热，肛门下坠，舌质红，脉细弱，证属哪一型癃闭?,A,气阴两虚,脾气不升,上焦热盛,气郁化火,,
取嚏法利小便的治疗依据是(    )。,B,举中气利小便,开肺气利小便,和胃气利小便,清湿热利小便,,
尿道阻塞型癃闭的最佳选方是(    )。,D,沉香散,清肺饮,滋肾通关丸,代抵当丸,,
患者小便不通，胁腹胀满，多烦易怒，舌红，苔薄黄，脉弦，最佳选方为(    )。,D,疏凿饮子,越婢加术汤,八珍汤,沉香散,,
首先将关格作为病名提出的著作是(    )。,B,《内经》,《伤寒论》,《医门法律》,《证治准绳》,,
关于关格的论述，哪一项是正确的?,A,小便不通与呕吐并见,大便不通与呕吐并见,小便不通与水肿并见,小便淋沥涩痛,,
关格呕吐的病机是(    )。,D,外感风寒，胃气上逆,瘀血内阻，胃气上逆,痰饮内停，胃气上逆,湿浊毒邪，上逆犯胃,,
患者有慢性肾小球肾炎病史20年，2月来出现小便量极少，恶心呕吐，厌食乏力，腰膝酸软，尿黄赤，苔黄腻而干，脉濡数，诊断为(    )。,B,脾气不升之癃闭,脾肾亏虚，湿热内蕴之关格,肾阳衰惫之癃闭,脾肾阳虚，寒浊上犯之关格,,
走哺呕吐的病机是(    )。,A,大便不通，浊气上冲,外邪干胃，胃气上逆,瘀血内停，胃气上逆,痰饮内停，胃气上逆,,
患者有水肿病史5年，1月来小便量极少，呕吐清水，伴面色晦暗，畏寒怕冷，舌淡胖，脉沉细，证属哪一型关格?,D,脾肾亏虚，湿热内蕴,肝肾阴虚，肝风内动,心肾两虚，邪陷心包,脾肾阳虚，寒浊上犯,,
患者小便不通，呕吐清水，面色晦滞，畏寒怕冷，便溏，苔白滑，脉沉细，选方为(    )。,D,苏合香丸,生脉散,黄连温胆汤,温脾汤合吴茱萸汤,,
患者小便极少，恶心呕吐，心悸胸闷，痰涎壅盛，神昏躁狂，苔黄腻，脉滑数，最佳选方为(    )。,B,涤痰汤合苏合香丸,涤痰汤合紫雪丹,参附汤合苏合香丸,六味地黄丸合羚羊钩藤汤,,
关格病机中标实指的是(    )。,A,湿浊毒邪,痰浊之邪,瘀血浊邪,虫积之邪,,
患者小便不通，呕吐，神昏谵语，伴面白唇暗，四肢不温，痰涎壅盛，苔白腻，脉沉缓，最佳选方为(    )。,B,六味地黄丸合羚羊钩藤汤,涤痰汤合苏合香丸,涤痰汤合紫雪丹,参附汤加减,,
治疗关格忌用酸涩之品，用无比山药丸时应去掉哪味药物?,D,五味子,肉苁蓉,巴戟天,赤石脂,,
患者小便极少，呕恶频作，伴头晕目眩，肌肤干燥，舌质红而干，脉弦细数，最佳选方为(    )。,D,一贯煎合八正散,黄连温胆汤合五皮饮,吴茱萸汤合温胆汤,六味地黄丸合羚羊钩藤汤,,
湿热下注，扰动精室之遗精，最佳选方是(    )。,B,八正散,程氏萆薢清饮,龙胆泻肝汤,知柏地黄丸,,
遗精的病位主要在(    )脏腑。,B,脾肾,心肾,心脾,心肝,,
患者少寐多梦，梦中遗精，伴心中烦热，口干，小便短赤，舌质红，脉细数，最佳选方是(    )。,D,知柏地黄丸合交泰丸,大补阴丸合交泰丸,金锁固精丸合水陆二仙丹,黄连清心饮合三才封髓丹,,
君相火旺型遗精的治疗方药中配伍少量肉桂的用意是(    )。,C,补肾阳  温脾土,温脾土  壮心阳,引火归元  心肾交泰,摄肾气  固精室,,
肾虚不藏，精关不固之遗精，治疗除补肾外，应辅以(    )。,B,定心安神,固涩止精,补益脾胃,升阳举陷,,
妙香散主治哪一型遗精?,D,君相火旺，心肾不交,湿热下注，扰动精室,肾虚滑脱，精关不固,劳伤心脾，气不摄精,,
湿热下注型遗精，治疗不宜(    )。,C,清利湿热,清心利湿,早投固涩,苦泄厥阴,,
遗精阴损及阳，肾阴阳俱虚，治当(    )。,A,阴中求阳,。补肾固涩       ,滋阴清热,温补肾阳,,
遗精初起多见(    )。,C,虚证,虚实夹杂证   ,实证,热证,,
关于溢精的论述，(    )是错误的。,A,属病理现象,每月遗精1至2次,属生理现象,无其他不适,,
阳痿这一病名始见于哪本书籍?,C,《素问》,《灵枢》,《景岳全书》,《明医杂著》,,
命门火衰型阳痿，治疗除温肾壮阳外，应配合(    )治法。,B,补益心脾,滋肾填精,益肾宁神,疏肝解郁,,
《素问》所谓：“肾欲坚，急食苦以坚之”符合(    )型阳痿的治则。,D,肝郁不舒,命门火衰,心脾受损,湿热下注,,
患者阴茎痿软，阴囊湿痒臊臭，小便黄赤，苔黄腻，脉濡数，最佳选方为(    )。,A,龙胆泻肝汤,萆藓分清饮,黄连解毒汤,八正散,,
患者阳痿不举，烦躁，胁肋胀闷，食少便溏，苔薄，脉弦，有情志所伤史，最佳选方为(    )。,A,逍遥散,疏肝散,小柴胡汤,四磨饮子,,
阳痿的治疗主要从(    )人手。,A,病因病机,临床表现,病程长短,患者年龄,,
阳痿的病机有五种，其中最多见的是(    )。,B,恐惧伤肾,命门火衰,湿热下注,心脾受损,,
“壮火食气”的病理因素是指(    )。,C,肝郁不舒,心脾受损,湿热下注,恐惧伤肾,,
阳痿肝肾阴伤，虚火旺动，治宜(    )。,D,滋补肝阴,滋补肾阴,滋补肝肾,滋阴降火,,
患者梦中阳举，举则遗精，盗汗，五心烦热，腰膝酸软，舌红，少苔，脉细数，证属哪一型阳痿?,B,肝郁不舒,肝肾阴伤，虚火旺动,命门火衰,气血两虚，宗筋失养,,
恐惧伤肾型阳痿治宜温肾宁神，还可配伍哪类药物?,D,补益心脾,行气解郁,滋补肝肾,益气升阳,,
患者阴痉痿软，阴囊湿痒臊臭，伴阴部坠胀疼痛，小便不畅，余沥不尽，治疗清热利湿，可配伍哪一类药物?,B,疏肝理气,活血化瘀,补益心脾,益肾宁神,,
患者因惊恐而致阳痿，伴心悸易惊，苔薄白，脉弦细，最佳选方为(    )。,C,归脾汤,逍遥散,大补元煎,右归丸,,
郁病的主要病因是（    ）。,D,外感六淫,饮食不节,房室失节,情志内伤,,
郁病初起基本病变为（     ）。,B,食滞,气郁,痰郁,血郁,,
各证型郁证所共有的症状为（     ）。,A, 气郁症状,湿郁症状,痰湿症状,血郁症状,,
郁证主要受累脏器是(    )。,B,心、肺、脾,心、肝、脾,肝、脾、肾,心、肝、肾,,
下列(    )病证属郁证范畴。,C,虚火喉痹,噎膈,梅核气,癫病,,
首先采用郁证这一病名的医籍是(    )。,B,《丹溪心法》,《医学正传》,《金匮要略》,《景岳全书》,,
证见：情绪不宁，心悸，健忘，失眠五心烦热，盗汗。证属(    )。,C,阴虚火旺之盗汗,肝阴亏虚之郁证,心阴亏虚之郁证,心血不足之盗汗,,
“梅核气”与“脏躁”最早记载于(    )。,C,《景岳全书》,《古今医案大全》,《金匮要略》,《临证指南医案》,,
临床表现为多思善疑，头晕神疲，心悸胆怯，失眠健忘，纳差，面色不华，舌淡苔白脉细，应辨证为(  )。,A,心脾两虚之郁病,脾血虚之虚劳,脾阳虚之虚劳,心血虚之虚劳,,
郁病在调护方面应注意的主要因素是(    )。,A,情志因素,气候因素,饮食因素,睡眠状况,,
滋水清肝饮治疗郁病的证型为(    )。,A,肝阴亏虚,气郁化火,痰气郁结,肝气郁结,,
