Question,A,B,C,D,E,answer,,,
肾虚寒湿带下病人多见,面色黧黑晦暗,面色黑而干焦,眼眶周围发黑,面色紫暗黧黑，肌肤甲错,面色淡青或青黑,C,,诊断学,单选
肾虚水泛证水肿的部位多见于,头面肿甚,胸胁肿甚,下肢肿甚,脐腹肿甚,上肢肿甚,C,,诊断学,单选
肾虚水泛证水肿的部位多见于：(    ),上肢肿甚,脐腹肿甚,胸胁肿甚,头面肿甚,下肢肿甚,B,,诊断学,单选
肾虚泄泻的病人其便质异常多呈,大便稀溏,溏结不调,完谷不化,便黑如油,脓血样便,C,,诊断学,单选
肾阳不足所致腰痛的特点为：（    ）,隐隐作痛,冷痛绵绵不休,重痛活动受限,痛处游走不定,刺痛固定不移,B,,诊断学,单选
肾阳虚病人多见,面色黧黑晦暗,面色黑而干焦,眼眶周围发黑,面色紫暗黧黑，肌肤甲错,面色淡青或青黑,A,,诊断学,单选
肾阴虚证的临床表现是,头痛，头晕，面红目赤，急躁易怒，口苦，脉弦数,眩晕眼花，两目干涩，胁痛颧红，舌红少苔，脉弦细数,头痛而晕，面白神疲，心悸，舌淡脉细,腰膝酸软，眩晕耳鸣，月经失调，遗精盗汗，舌红少苔,头目胀痛，眩晕耳鸣，面红目赤，头重脚轻，舌红少津,D,,诊断学,单选
失神的病人，本不能食，突然能食，此为：(    ),神志异常,无神,少神,假神,得神,D,,诊断学,单选
湿病病人斑疹显露提示温病已进入,卫分,气分,营分,血分,气营,D,,诊断学,单选
湿热蕴脾可见,舌红苔黄厚,舌淡苔白润,舌红苔黄腻,舌淡红苔薄白,舌红绛少苔,C,,诊断学,单选
湿热蕴脾证与肝经湿热下注证的鉴别要点是,是否舌红苔黄腻,是否阴部瘙痒,是否身目发黄,是否食少便溏,是否腹胀呕恶,B,,诊断学,单选
湿痰的特点是,痰白量多易咯,痰黄黏稠有块,痰少而黏难咯,痰白清稀量多,脓血痰气腥臭,A,,诊断学,单选
湿邪阻滞的疼痛特征是,绞痛,刺痛,窜痛,掣痛,重痛,E,,诊断学,单选
湿证患者可见,濡脉,弱脉,两者均有,两者均无,,A,,诊断学,单选
湿证一般不与下述哪项兼并出现,痰湿,风湿,虚湿,寒湿,湿热,C,,诊断学,单选
湿浊内蕴，阳气被遏可致舌苔为：(    ),厚苔,薄苔,腐苔,腻苔,剥苔,D,,诊断学,单选
识别温病气分证的主要依据是壮热而：（    ）,腹痛便秘,胸闷气粗,咳嗽气喘,头痛心烦,口渴苔黄,C,,诊断学,单选
实寒证与虚寒证最主要的区别点是,病程长短,病情缓急,脉之有力无力,怕冷的新久,肢体痛与不痛,C,,诊断学,单选
实寒证与虚寒证最主要的区别点是下列哪项,病程的长与短,怕冷之新与久,脉象有力与无力,病势的缓与急,疼痛喜按与拒按,C,,诊断学,单选
实热病人的唇色是,淡白,樱红,深红,青紫,青黑,C,,诊断学,单选
实热证出汗为(    ),冷汗淋漓,日间汗出，活动尤甚,蒸蒸发热，汗出不己,睡时汗出，醒则汗止,战栗而后汗出,C,,诊断学,单选
实热证的舌象是,舌红苔黄厚,舌淡苔白润,舌红苔黄腻,舌淡红苔薄白,舌红绛少苔,A,,诊断学,单选
实证的主要病因病机，下列哪项是错误的,疫病虫毒侵袭,正虚不能驱邪,六淫之邪外侵,气化阻滞障碍,病理产物停积,B,,诊断学,单选
食积内停引起的呕吐多表现为,呕吐酸腐食物,呕吐清水痰涎,呕吐黄绿苦水,呕吐酸臭秽浊,喷射状呕吐,A,,诊断学,单选
食积胃肠多为,口气酸腐,口气腥臭,口气酸臭,口气臭秽,口气臊臭,C,,诊断学,单选
食积证见,滑脉,涩脉,两者均见,两者均不见,,C,,诊断学,单选
食少便溏，神疲乏力，昨起腹胀痛，矢气极臭，舌淡苔白，脉,虚实并重证,真实假虚证,虚中夹实证,真虚假实证,实中夹虚证,C,,诊断学,单选
食少纳呆，腹胀便溏，神疲乏力，少气懒言，舌淡苔白，脉虚，应诊断为,脾阳亏虚证,寒湿困脾证,脾不统血证,脾气亏虚证,脾气下陷证,D,,诊断学,单选
食少脘痞，食后胀甚，气短神疲，面色萎黄，舌淡脉弱，应,脾阳虚证,脾虚气陷证,寒湿困脾证,脾气虚证,胃气虚证,E,,诊断学,单选
食滞所致呕吐的特点是,吐物清稀,吐物酸腐,干呕无物,喷射状呕,朝食暮吐,B,,诊断学,单选
食滞胃脘证的临床特点是,热结旁流，大便恶臭,口吐清水，大便溏薄,下痢脓,下利清谷，完谷不化,大便酸腐秽臭,E,,诊断学,单选
似喘不抬肩，喉中无痰鸣者称,哮症,上气,短气,热咳,,C,,诊断学,单选
是谁在卫气营血辨证的基础上补充并创立了三焦辨证：（    ）,吴鞠通,薛生白,王孟英,叶天士,刘河间,A,,诊断学,单选
手太阴肺经的病变可归属于,卫分证,气分证,血分证,营分证,营血分证,A,,诊断学,单选
手足汗出可见于,阳明热盛,中风,心脾两虚,上焦热盛,阳虚,A,,诊断学,单选
手足拘急、肢体震颤、四肢麻木、肌肉瞤动等动风表现，应诊断为,阴虚生风证,血虚生风证,肝阳化风证,血燥生风证,热极生风证,B,,诊断学,单选
手足蠕动是何证的临床特征：(    ),肝血虚证,热极生风证,肝阳化风证,阴虚动风证,血虚生风证,C,,诊断学,单选
手足心出汗多属于(    )脏的病变,心,肺,脾,肝,肾,C,,诊断学,单选
手足震颤与下列何项有关,阴虚动风证,血虚生风证,肝阳化风证,热极生风证,,A,,诊断学,单选
首次病程的完成时间是,入院12小时内,入院24小时内,患者就诊当时,入院8小时内,出院前24小时,D,,诊断学,单选
首先讨论阴阳与六变的是：（    ）,《内经》,《景岳全书·传忠录》,《难经》,《伤寒杂病论》,《医学心悟》,B,,诊断学,单选
受四季气候影响在秋季之平脉应,稍洪,稍沉,稍浮,稍弦,稍缓,C,,诊断学,单选
书写住院病历应当使用,红色墨水,蓝黑墨水,绘图铅笔,蓝色油水圆珠笔,黑色油水圆珠笔,B,,诊断学,单选
暑闭气机证的表现为,恶热，汗出，口渴，疲乏,胸闷，腹痛，呕恶，无汗,神志昏迷，抽搐惊厥,胸闷，腹胀，苔腻，发热,恶寒，发热，身痛，无汗,B,,诊断学,单选
暑闭气机证的特征表现是：（      ）,胸闷腹痛呕恶无汗,恶热汗出口渴疲乏,神志昏迷抽搐惊厥,胸闷腹胀苔腻发热,恶寒发热身痛无汗,A,,诊断学,单选
暑季游泳后突发腹痛如绞，恶心呕吐，口渴无汗，面白，微发热，脉弦数，证为,气滞寒凝证,风寒表实证,暑闭气机证,暑湿伤表证,寒中肠胃证,C,,诊断学,单选
暑淫病人口渴喜饮，气短神疲，其病机是,暑性升散,暑伤津气,暑闭气机,暑闭心神,暑邪夹湿,B,,诊断学,单选
属里虚寒证者为,大汗淋漓，四肢厥冷，面色苍白，神情淡漠，呼吸微弱，脉微欲绝,形体消瘦，五心烦热，颧红盗汗，口燥咽干，皮肤干燥，脉象细数,身热大汗，汗热质黏，面色潮红，躁扰不安，渴喜冷饮，脉细数疾,高热肢厥，神识昏沉，胸腹灼热，口渴喜饮，面色紫暗，脉沉有力,经常畏冷，四肢不温，渴喜热饮，常自汗出，尿清便溏，脉迟无力,E,,诊断学,单选
属里虚热证者为,大汗淋漓，四肢厥冷，面色苍白，神情淡漠，呼吸微弱，脉微欲绝,形体消瘦，五心烦热，颧红盗汗，口燥咽干，皮肤干燥，脉象细数,身热大汗，汗热质黏，面色潮红，躁扰不安，渴喜冷饮，脉细数疾,高热肢厥，神识昏沉，胸腹灼热，口渴喜饮，面色紫暗，脉沉有力,经常畏冷，四肢不温，渴喜热饮，常自汗出，尿清便溏，脉迟无力,B,,诊断学,单选
属上实下虚的证候是：(    ),肝阴虚证,肝气郁结证,肝火炽盛证,肝阳上亢证,寒滞旰脉证,A,,诊断学,单选
属阳虚的脏腑兼证是：(    ),心肝,心脾,心肾,肝肾,肝脾,B,,诊断学,单选
属于“痰热闭神”否定性资料的是,昏迷不知人,语言不清楚,喉间有痰声,无发热面赤,苔黄腻脉滑,D,,诊断学,单选
属于除中表现的是,食欲旺盛,食量逐渐减少,食量逐渐增加,饥而不欲食,重病突然欲食,E,,诊断学,单选
属于疾病名称的是,心肾不交,肠痈,血热,血瘀,表寒,B,,诊断学,单选
属于肾阳虚证常见证候的是,腰痛强直，转侧不利,腰膝酸冷，性欲减退,呼多吸少，动则喘甚,烦热盗汗，早泄梦遗,形寒肢冷，舌淡脉弱,B,,诊断学,单选
属于阳脏人表现的是,体形瘦长,头长,颈部细长,肩宽胸厚,体姿多前屈,D,,诊断学,单选
属于正常范围的脉象是：（    ）,大脉,滑脉,洪脉,实脉,数脉,B,,诊断学,单选
属于中医诊断基本原则的是,四诊合参,司外揣内,见微知著,以常衡变,因发知受,A,,诊断学,单选
属真热假寒证者为,大汗淋漓，四肢厥冷，面色苍白，神情淡漠，呼吸微弱，脉微欲绝,形体消瘦，五心烦热，颧红盗汗，口燥咽干，皮肤干燥，脉象细数,身热大汗，汗热质黏，面色潮红，躁扰不安，渴喜冷饮，脉细数疾,高热肢厥，神识昏沉，胸腹灼热，口渴喜饮，面色紫暗，脉沉有力,经常畏冷，四肢不温，渴喜热饮，常自汗出，尿清便溏，脉迟无力,D,,诊断学,单选
数脉的脉象特征是,脉来急速，一息七至以上,脉来急促，一息五六至,厥厥动摇，一息五至以上,脉来滑数，一息四五至,一息五至以上，时而一止,B,,诊断学,单选
数脉的特征是,脉来一息四至,脉来一息四五至,脉来一息五六至,脉来一息五到七至,脉来一息七八至,C,,诊断学,单选
数脉见于,寒证或实热证,邪闭,阴寒内盛,气虚,虚热证,E,,诊断学,单选
水逆证的呕吐特点是,吐利并作,饮后即吐,朝食暮吐,呕吐酸腐,呕吐如喷,B,,诊断学,单选
水入即吐者多属,湿热证,热盛伤津,阴虚,水饮内停,瘀血,D,,诊断学,单选
水液停聚的病理产物，由稀到稠的顺序是：（      ）,湿—痰—水—饮,湿—水—饮—痰,饮—水—湿—痰,痰—饮—水—湿,水—湿—痰—饮,B,,诊断学,单选
水肿先从头面肿起，起病急骤，兼见发热恶寒可以诊断为：(    ),风湿犯表证,脾肾阳虚证,寒湿困脾证,风水相搏证,湿溢肌表证,C,,诊断学,单选
睡时汗出，醒后汗止者是：（    ）,自汗,盗汗,大汗,战汗,头汗,B,,诊断学,单选
四肢麻木，痿废不用，多为,风寒入络,气血两虚,风痰阻络,寒湿阻滞,脾胃虚弱,E,,诊断学,单选
素体虚衰，外邪入侵而出现三阴经证候，称为：（    ）,越经传,并病,循经传,表里传,直中,C,,诊断学,单选
随季节气候不同而发生轻微改变的面色，称为,病色,主色,客色,善色,恶色,C,,诊断学,单选
所谓“因虚致实”，主要体现哪种辩证关系,对立关系,统一关系,邪正关系,因果关系,真假关系,D,,诊断学,单选
苔白而滑腻者为,寒湿内蕴,食积化热,热盛伤津,瘀血内停,热入营血,A,,诊断学,单选
苔薄白而干，多见于,外感水湿,脾肾阳虚,水湿内停,外感风热,阴液亏损,D,,诊断学,单选
苔黑而滑润者多属：(    ),阳虚寒盛,饮食停滞,瘀血内停,寒湿内阻,湿热内蕴,D,,诊断学,单选
苔黄而腻者为,寒湿内蕴,食积化热,热盛伤津,瘀血内停,热入营血,B,,诊断学,单选
苔质颗粒大而疏松，形如腐渣者，为,滑苔,腐苔,腻苔,润苔,燥苔,B,,诊断学,单选
苔质致密，颗粒细小，融合成片，属,滑苔,腐苔,腻苔,润苔,燥苔,C,,诊断学,单选
太息的病机是：（    ）,肝气郁结,脾气虚弱,胃气上逆,肝阳上亢,肺气不足,A,,诊断学,单选
太阳病的主要病机是,寒邪袭表，郁遏卫气，损伤营阴,风寒袭表，正邪交争，营卫失和,风寒袭表，郁遏卫气，损伤营阴,风寒外袭，卫外不固，营不内守,风寒外束，卫阳被遏，毛窍闭伏,B,,诊断学,单选
太阳伤寒证不可能出现的症状是：（    ）,恶寒发热,有汗脉缓,项强痛,无汗而喘,身体疼痛,A,,诊断学,单选
太阳伤寒证的主要病机是,寒邪袭表，郁遏卫气，损伤营阴,风寒袭表，正邪交争，营卫失和,风寒袭表，郁遏卫气，损伤营阴,风寒外袭，卫外不固，营不内守,风寒外束，卫阳被遏，毛窍闭伏,E,,诊断学,单选
太阳中风证的主要辨证要点是,恶寒发热，头项强痛，脉浮紧,发热恶风，头痛汗出，脉浮缓,发热恶寒，项背强痛，脉浮缓,发热恶寒，头痛汗出，脉浮数,发热恶寒，头痛汗出，脉浮缓,B,,诊断学,单选
太阳中风证的主要病机是,寒邪袭表，郁遏卫气，损伤营阴,风寒袭表，正邪交争，营卫失和,风寒袭表，郁遏卫气，损伤营阴,风寒外袭，卫外不固，营不内守,风寒外束，卫阳被遏，毛窍闭伏,D,,诊断学,单选
太阳中风证的主要脉症是：（    ）,恶寒发热，头项强痛，脉浮紧,发热恶风，头痛汗出，脉浮缓,发热恶寒，项背强痛，脉浮缓,发热恶寒，头痛汗出，脉浮数,发热恶寒，头痛汗出，脉浮缓,B,,诊断学,单选
太阴湿热证的发热特点是,身热不扬,日晡潮热,五心烦热,身热汗出,往来寒热,A,,诊断学,单选
痰、悬、支、溢四饮主要是根据下列哪项而命名,饮邪的性质,饮停的原因,饮邪的多少,饮停的先后,饮停的部位,E,,诊断学,单选
痰白滑而量多，易咯出者，属：(    ),热盛伤津,寒伤阳气,肝风挟痰,脾虚湿聚,肺痈,D,,诊断学,单选
痰黄稠有块者，多属,寒痰,热痰,燥痰,湿痰,肺痈,B,,诊断学,单选
痰黄粘稠成块者，属于：(    ),热痰,寒痰,风痰,燥痰,湿痰,A,,诊断学,单选
痰火扰心导致,夺气,郑声,独语,错语,狂言,E,,诊断学,单选
痰蒙心神证的临床表现是,持续低热，手足蠕动，舌绛少苔,突然昏仆，半身不遂，口眼歪斜,筋脉拘急，肌肉掣动，肢体麻木,两目上视，角弓反张，高热神昏,突然昏倒，不省人事，口吐涎沫,E,,诊断学,单选
痰蒙心神证最不容易见到的症状是,神情抑郁,狂躁妄动,突然昏仆,喃喃自语,痴呆淡漠,B,,诊断学,单选
痰热壅肺可见,喘,哮,声重,少气,太息,A,,诊断学,单选
痰少而黏，难于咯出者，多属,寒痰,热痰,燥痰,湿痰,肺痈,C,,诊断学,单选
痰湿内阻导致的头晕是,头晕面白，腰膝冷痛,头晕面白，神疲体倦,头晕刺痛，痛有定处,头晕且重，如物裹缠,头晕耳鸣，胸闷气短,D,,诊断学,单选
痰湿内阻所致头晕的特征，是伴有,胀痛,刺痛,眼花,耳鸣,昏沉,E,,诊断学,单选
痰饮  悬饮  支饮  溢饮主要是根据下列哪项而命名：（      ）,饮停部位,饮邪性质,饮邪多少,饮停先后,饮停的原因,A,,诊断学,单选
痰饮宿疾可见,喘,哮,声重,少气,太息,B,,诊断学,单选
痰饮悬饮支饮溢饮主要是根据下列哪项而命名：（      ）,饮停部位,饮邪性质,饮邪多少,饮停先后,饮停的原因,A,,诊断学,单选
痰饮证多见,濡脉,弦脉,革脉,动脉,短脉,B,,诊断学,单选
痰与饮的共有症，不包括以下哪项：（      ）,咳吐痰涎,舌苔白滑,胸闷脘痞,形体肥胖,头晕目眩,E,,诊断学,单选
痰与饮的区别，以下哪项不对,痰质地较稠，饮质地较稀,痰流动性大，饮流动性小,痰致病广泛，饮致病局限,痰性有寒热，饮性多偏寒,饮可凝为痰，痰难化为饮,B,,诊断学,单选
痰证见,滑脉,涩脉,两者均见,两者均不见,,A,,诊断学,单选
痰浊结于颈部两侧表现为,瘿瘤,瘰疬,项痈,项强,项瘘,B,,诊断学,单选
痰浊结于颈前表现为,瘿瘤,瘰疬,项痈,项强,项瘘,A,,诊断学,单选
疼痛如针刺之状，固定不移的是,瘀血,气滞,风湿,血虚,湿热,A,,诊断学,单选
提示疾病发展转折点的是,自汗,绝汗,盗汗,战汗,头汗,D,,诊断学,单选
提示邪气渐盛的舌苔变化是,苔由厚变薄,苔由薄变厚,苔由多变少,苔由润变燥,苔骤然退去,B,,诊断学,单选
体格检查的内容，不包括,一般情况,血、尿、便检查结果,全身浅表淋巴结情况,胸腹部情况,神经系统情况,B,,诊断学,单选
体胖食少，神疲乏力者，属,形气有余,形盛气虚,胃火亢盛,阴虚火旺,精气衰竭,B,,诊断学,单选
听声音的内容不包括下列哪项,呼吸,呵欠,咳嗽,耳鸣,语言,D,,诊断学,单选
停经半年，伴面白无华，爪甲不荣，头晕目眩，舌淡脉细，应诊为：(    ),肝肾阴虚证,心肝血虚证,心脾两虚证,肾精不足证,肝血虚证,E,,诊断学,单选
通过哪项可判断邪气之深浅：(    ),苔之腐腻,苔之润燥,苔之厚薄,苔之剥落,舌苔的真假,C,,诊断学,单选
头发色黄干枯，稀疏易落，多属：(    ),精血不足,血虚受风,疳积病,肾虚或血热,因禀赋不足所致,A,,诊断学,单选
头目胀痛的常见原因是,气机郁滞,寒邪凝滞,肝火上炎,肝气乘脾,痰蒙清窍,C,,诊断学,单选
头痛烦躁，面红口苦，耳鸣胁痛，尿黄便秘，舌红苔黄燥，脉弦数，应诊断为,肝阳上亢证,肝火炽盛证,肝胆湿热证,肝阴亏虚证,肝风内动证,B,,诊断学,单选
头痛剧烈，面红目赤，急躁易怒，舌红苔黄，脉弦数。宜诊断为：(    ),肝阳上亢证,肝胆湿热证,肝阴虚证,肝火炽盛证,胆郁痰扰证,D,,诊断学,单选
头晕而重，如物缠裹，苔腻者，多因,瘀血,痰湿,气虚,风寒,气滞,B,,诊断学,单选
头晕耳鸣，遗精健忘，腰膝酸软者属(    ),肝阳上亢,气血两亏,肾精亏虚,脾气亏虚,以上都不是,C,,诊断学,单选
头晕目涩，胁肋隐痛，面部烘热，潮热盗汗，舌红少苔，脉弦细数，应诊断为,肝火炽盛证,肝气郁结证,肝胆湿热证,肝阳上亢证,肝阴虚证,E,,诊断学,单选
头晕目眩，食少纳差，脘腹重坠，气短乏力，动则益甚，舌,肝阳上亢证,心脾两虚证,痰浊内阻证,肝肾阴虚证,脾虚气陷证F.心肝血虚证,E,,诊断学,单选
头晕目眩，胸胁隐痛，两目干涩，腰膝酸软，失眠多梦，诊,肝阳上亢证,心脾两虚证,痰浊内阻证,肝肾阴虚证,脾虚气陷证F.心肝血虚证,D,,诊断学,单选
头晕眼花，面色淡白，舌淡，脉沉细，其辨证应倾向于,痰湿内阻,心肝血虚,肝阳上亢,肾精亏虚,肝火上炎,B,,诊断学,单选
头晕眼花舌质淡脉细涩腹部肿块固定疼痛者证属,气虚血瘀,血虚血瘀,气滞血瘀,寒客血脉,肝郁血瘀,B,,诊断学,单选
头晕胀痛，面红目赤，口苦而干，恶梦纷纭，舌红苔黄，脉弦数，应诊为：(    ),肝阳上亢证,肝胆湿热证,肝火上炎证,肝经湿热证,胆郁痰扰证,C,,诊断学,单选
头重脚轻，眩晕欲仆者，此属：(    ),肝阳化风证,血燥生风证,血虚生风证,阴虚生风证,热极生风证,C,,诊断学,单选
突发耳鸣，声大如潮声，按之不减者，多因：（    ）,肝胆火盛,阴虚火旺,肝肾阴虚,肾精亏损,气血不足,A,,诊断学,单选
突起胃脘疼痛，呕吐清涎，面色苍白，舌苔白润，脉沉紧。此为,表实寒证,表实热证,里实寒证,里虚寒证,里虚热证,C,,诊断学,单选
突然昏倒，不省人事，口吐涎沫，口出异声，四肢抽搐，醒后如常，多属于,狂病,癫病,痫病,中风,急惊风,C,,诊断学,单选
突然昏仆，不省人事，口吐涎沫，喉有痰声，手足抽搐。宜诊断为：(    ),痰蒙心神证,痰火扰神证,胆郁痰扰证,心火亢盛证,肝阳化风证,D,,诊断学,单选
吐弄舌常见于,热极生风,阳亢生风,阴虚动风,疫毒攻心,小儿智力发育不全,E,,诊断学,单选
吐弄舌多因：(    ),肺胃热盛,肝胆湿热,心脾热盛,阴虚火旺,以上都不是,C,,诊断学,单选
歪斜舌的形成原因是,肝风夹痰,气血两虚,阴虚火旺,以上都不是,,A,,诊断学,单选
外感表证初起，常见：（    ）,淡白舌,淡红舌,红舌,青舌,降舌,B,,诊断学,单选
外感风寒的咳声特点是：（    ）,咳声重浊,咳声清脆,咳声紧闷,咳声不扬,咳声顿作,A,,诊断学,单选
外感风寒或风热之邪，或痰湿壅肺，肺失宣肃，导致的音哑或失音，称,子喑,金破不鸣,金实不鸣,少气,短气,C,,诊断学,单选
外感风寒可见,语声重浊,音哑或失音,呻吟,惊呼,狂言,A,,诊断学,单选
外感风热病人可见,鼻塞流清涕,鼻塞流浊涕,鼻塞流脓涕腥臭,鼻衄或齿衄,息灼、鼻翼扇动,B,,诊断学,单选
外感风邪可见(    ),恶寒重发热轻,发热重恶寒轻,发热轻恶风自汗,寒热往来,不恶寒反恶热,C,,诊断学,单选
外感秽浊不正之气，热毒内盛的舌象是：(    ),白腻苔,黄腻苔,灰黑苔,腐苔,积粉苔,E,,诊断学,单选
外感时病中， 寒邪侵袭所致病证， 常用的辨证方法是,脏腑辨证,六经辨证,三焦辨证,经络辨证,卫气营血辨证,B,,诊断学,单选
外感温热疾病，舌苔由白转黄，说明：(    ),病邪仍在表,邪在半表半里,热邪迅速伤阴,表邪化热入里,以上都不是,D,,诊断学,单选
外邪最易侵袭何经：（    ）,厥阴经,太阳经,阳明经,太阴经,少阳经,D,,诊断学,单选
脘腹各部位的划分，脐下至耻骨上缘称,小腹,少腹,脐腹,大腹,脘部,A,,诊断学,单选
脘腹冷痛，痛势暴急，口吐清水，面青肢冷，苔白滑，脉沉紧，应诊断为,胃阳亏虚证,寒饮停胃证,胃气虚证,食滞胃脘证,寒滞胃脘证,E,,诊断学,单选
脘腹冷痛拒按，大便秘结，多见于,表寒证,真寒假热证,虚寒证,实寒证,亡阳证,D,,诊断学,单选
脘腹冷痛喜按，大便溏软，多见于,表寒证,真寒假热证,虚寒证,实寒证,亡阳证,C,,诊断学,单选
脘腹痞满，身热不扬，身目鲜黄或皮肤发痒，见于何证:,湿热蕴脾证,寒湿困脾证,大肠湿热证,肝胆湿热证,脾虚湿盛证,D,,诊断学,单选
脘腹痞胀，纳呆呕恶，身热不扬，汗出热不减，应诊断为,肝胃不和证,湿热蕴脾证,肝火炽盛证,肝郁脾虚证,肝经湿热证,B,,诊断学,单选
脘腹痞胀疼痛、拒按，嗳腐吞酸，泻下臭秽，脉滑，应诊断为,肠燥津亏证,胃阴亏虚证,肠热腑实证,食滞胃脘证,胃热炽盛证F.寒滞胃肠证,D,,诊断学,单选
脘腹胀满喜按，时有缓解，舌淡胖，脉沉无力。证属,表实里虚证,表虚里实证,真实假虚证,真虚假实证,上实下虚证,D,,诊断学,单选
脘腹胀痛拒按，厌食，吞酸，呕吐酸腐，舌苔厚腻，脉滑，应诊断为,食滞胃肠证,寒滞胃肠证,胃热炽盛证,胃肠气滞证,寒饮停胃证,A,,诊断学,单选
脘胁胀痛，吞酸嘈杂，呃逆嗳气，情绪抑郁，善太息，应诊,肝胃不和证,湿热蕴脾证,肝火炽盛证,肝郁脾虚证,肝经湿热证,A,,诊断学,单选
亡阳病人，按肌肤的表现为,肌肤灼热，体温升高,肌肤寒冷，体温偏低,大汗淋漓，四肢厥冷,汗出如油，四肢尚温,身灼热而四肢厥冷,C,,诊断学,单选
亡阳亡阴的共同之处，错误的是：（         ）,见于病久体弱患者,出现在病情危重之时,病变趋势极其危急,以出现“绝汗”为特征,对方亦可随之而亡,A,,诊断学,单选
亡阳证汗出特点是,汗多壮热,汗出恶风,冷汗淋漓,汗出肢温,动则汗出,C,,诊断学,单选
亡阴病人，按肌肤的表现为,肌肤灼热，体温升高,肌肤寒冷，体温偏低,大汗淋漓，四肢厥冷,汗出如油，四肢尚温,身灼热而四肢厥冷,D,,诊断学,单选
亡阴亡阳证多见于：（      ）,初病,久病,重病,危病,新病,D,,诊断学,单选
望色十法中，清浊可以分辨：(    ),表里,阴阳,虚实,成败,轻重,B,,诊断学,单选
望色十法中“清”多主,阳证,表证,新病,轻病,实证,A,,诊断学,单选
望舌辨虚实，主要观察,舌色浅深,舌质老嫩,舌苔厚薄,舌苔润燥,,B,,诊断学,单选
望舌质重在辨：(    ),正气的盛衰,病邪的深浅,疾病的性质,津液的存亡,病情之进退,A,,诊断学,单选
危重症病人瞳孔散大，多属,脾虚水肿,气血不足,肝胆火炽,肾精耗竭,脾胃虚衰,D,,诊断学,单选
微发热，不欲食，乏力，苔薄白，脉弦缓，此类病情资料的属性是,—般性资料,否定性资料,特征性资料,偶见性资料,必要性资料,A,,诊断学,单选
微脉的特征是,浮细无力而软,脉细如线，应指明显,极细极软，按,沉细无力而软,脉来缓慢，时有中止,C,,诊断学,单选
卫分证的主要病机是,温热袭表，肺卫失宣,邪热壅肺，肺气郁闭,温邪入,热灼营阴，心神被扰,温邪入血，动血动风,A,,诊断学,单选
卫气营血辨证的临床意义应除外下列哪项：（    ）,归类温病病变中的不同证候,阐明各种温热病的感邪途径,揭示温病病情的浅深与轻重,说明温病过程中的传变规律,指导临床立法处方以及用药,E,,诊断学,单选
为沉、弦、大、实、长五种脉象之复合脉的是,沉脉,实脉,伏脉,牢脉,弦脉,D,,诊断学,单选
畏寒常出现于(    ),寒热并见,寒热往来,但寒不热,但热不寒,表寒里热,C,,诊断学,单选
胃气衰败的脉象特征最可能的是,弦而软,弦而硬,弦而缓,弦而数,弦而滑,B,,诊断学,单选
胃热多为,口气酸腐,口气腥臭,口气酸臭,口气臭秽,口气臊臭,D,,诊断学,单选
胃热亢盛多见（    ）,口渴欲饮，饮水即吐,口渴不欲饮,口渴喜冷饮,口渴引饮，小便量多,口不渴饮,C,,诊断学,单选
胃热者，其口气特点为,酸臭,奇臭,臭秽,腐臭,尸臭,C,,诊断学,单选
胃脘冷痛，呕吐清水，夹有不消化食物，畏寒肢冷，应诊断,胃气虚证,胃阳虚证,寒滞胃脘证,胃热炽盛证,胃阴虚证,B,,诊断学,单选
胃脘冷痛剧烈，得热痛减属(    ),胃阳虚,胃腑血瘀,寒邪犯胃,食积胃脘,胃中瘀血,C,,诊断学,单选
胃脘隐痛，喜温喜按，食后痛减，畏寒肢凉，舌淡胖嫩，应诊为,胃气虚证,胃阳虚证,寒饮停胃证,脾气虚证,脾阳虚证,B,,诊断学,单选
胃脘隐隐灼痛，嘈杂不舒，饥不欲食，干呕呃逆，大便干,胃气虚证,胃阳虚证,寒滞胃脘证,胃热炽盛证,胃阴虚证,E,,诊断学,单选
胃脘胀满疼痛，嗳腐吞酸，属,肝郁化火证,食滞胃脘证,心脾两虚证,心肾不交证,心肺气虚证,B,,诊断学,单选
胃脘胀痛的常见原因是,气机郁滞,寒邪凝滞,肝火上炎,肝气乘脾,痰蒙清窍,A,,诊断学,单选
胃阳虚证呕吐的特点是：(    ),干呕呃逆,泛吐清水,呕吐胆汁,吐物酸腐,痛而欲吐,B,,诊断学,单选
胃阴亏虚可见,干呕无物,呕吐酸腐,呕吐清水,喷射呕吐,朝食暮吐,A,,诊断学,单选
胃阴虚在食欲方面的特征是：(    ),食欲减退,厌食油腻,消谷善饥,饥不欲食,饥而能食,A,,诊断学,单选
胃阴虚证的临床表现中不易见到的症状是,胃脘灼痛,口燥咽干,大便秘结,消谷善饥,舌红少津,D,,诊断学,单选
胃中气体上出咽喉所发出的长而缓的声音，称,夺气,嗳气,呃逆,太息,呵欠,B,,诊断学,单选
温病热入营分可见：（    ）,口渴喜饮,渴喜热饮,渴不欲饮,渴不多饮,但欲漱水不欲咽,D,,诊断学,单选
温病热入营血时，舌色应为：(    ),红舌,淡红舌,紫舌,淡白舌,绛舌,E,,诊断学,单选
温病下焦病证相当于卫气营血辨证中的,卫分证,气分证,营分证,血分实热证,血分虚热证,E,,诊断学,单选
温热病热入营血，最常见的舌象是,红舌,绛舌,青舌,紫舌,淡白舌,B,,诊断学,单选
